file,label,icme_start_time,icme_end_time,duration_hours,n_timesteps,speed_mean_kms
icme/ICME_Wind_2025-07-26_16-44.csv,1,2025-07-26 16:44:00,2025-07-27 17:40:00,24.93,25,475.2
quiet/QUIET_Wind_2025-07-25_14-48.csv,0,2025-07-25 14:48:00,2025-07-26 15:44:00,24.93,25,535.9
icme/ICME_Wind_2025-07-03_04-52.csv,1,2025-07-03 04:52:00,2025-07-04 19:06:00,38.23,39,365.5
quiet/QUIET_Wind_2025-07-01_13-38.csv,0,2025-07-01 13:38:00,2025-07-03 03:52:00,38.23,38,398.5
icme/ICME_Wind_2025-06-12_19-34.csv,1,2025-06-12 19:34:00,2025-06-13 06:02:00,10.47,11,439.1
quiet/QUIET_Wind_2025-06-12_08-06.csv,0,2025-06-12 08:06:00,2025-06-12 18:34:00,10.47,10,415.8
icme/ICME_Wind_2025-06-07_00-12.csv,1,2025-06-07 00:12:00,2025-06-08 09:28:00,33.27,33,420.3
quiet/QUIET_Wind_2025-06-05_13-56.csv,0,2025-06-05 13:56:00,2025-06-06 23:12:00,33.27,34,501.7
icme/ICME_Wind_2025-06-04_13-44.csv,1,2025-06-04 13:44:00,2025-06-05 04:38:00,14.9,15,721.3
quiet/QUIET_Wind_2025-06-03_21-50.csv,0,2025-06-03 21:50:00,2025-06-04 12:44:00,14.9,15,552.7
icme/ICME_Wind_2025-06-02_20-00.csv,1,2025-06-02 20:00:00,2025-06-03 14:52:00,18.87,19,604.3
quiet/QUIET_Wind_2025-06-02_00-08.csv,0,2025-06-02 00:08:00,2025-06-02 19:00:00,18.87,19,713.6
icme/ICME_Wind_2025-06-02_03-56.csv,1,2025-06-02 03:56:00,2025-06-02 08:04:00,4.13,5,752.8
quiet/QUIET_Wind_2025-06-01_20-56.csv,0,2025-06-01 20:56:00,2025-06-02 02:56:00,6.0,6,888.7
icme/ICME_Wind_2025-06-01_18-54.csv,1,2025-06-01 18:54:00,2025-06-02 00:32:00,5.63,6,937.5
quiet/QUIET_Wind_2025-06-01_11-54.csv,0,2025-06-01 11:54:00,2025-06-01 17:54:00,6.0,6,1024.3
icme/ICME_Wind_2025-06-01_12-06.csv,1,2025-06-01 12:06:00,2025-06-01 18:48:00,6.7,6,994.0
quiet/QUIET_Wind_2025-06-01_04-24.csv,0,2025-06-01 04:24:00,2025-06-01 11:06:00,6.7,7,988.7
icme/ICME_Wind_2025-06-01_05-22.csv,1,2025-06-01 05:22:00,2025-06-01 12:06:00,6.73,7,1041.6
quiet/QUIET_Wind_2025-05-31_21-38.csv,0,2025-05-31 21:38:00,2025-06-01 04:22:00,6.73,7,691.9
icme/ICME_Wind_2025-05-27_22-28.csv,1,2025-05-27 22:28:00,2025-05-28 20:32:00,22.07,22,516.9
quiet/QUIET_Wind_2025-05-26_23-24.csv,0,2025-05-26 23:24:00,2025-05-27 21:28:00,22.07,22,430.5
icme/ICME_Wind_2025-05-26_13-04.csv,1,2025-05-26 13:04:00,2025-05-27 09:06:00,20.03,20,433.0
quiet/QUIET_Wind_2025-05-25_16-02.csv,0,2025-05-25 16:02:00,2025-05-26 12:04:00,20.03,20,397.2
icme/ICME_Wind_2025-04-15_16-50.csv,1,2025-04-15 16:50:00,2025-04-16 19:58:00,27.13,27,537.5
quiet/QUIET_Wind_2025-04-14_12-42.csv,0,2025-04-14 12:42:00,2025-04-15 15:50:00,27.13,27,400.7
icme/ICME_Wind_2025-04-01_17-48.csv,1,2025-04-01 17:48:00,2025-04-02 23:50:00,30.03,30,439.9
quiet/QUIET_Wind_2025-03-31_10-46.csv,0,2025-03-31 10:46:00,2025-04-01 16:48:00,30.03,30,433.4
icme/ICME_Wind_2025-02-02_16-06.csv,1,2025-02-02 16:06:00,2025-02-03 23:16:00,31.17,31,492.5
quiet/QUIET_Wind_2025-02-01_07-56.csv,0,2025-02-01 07:56:00,2025-02-02 15:06:00,31.17,32,615.8
icme/ICME_Wind_2025-01-03_23-40.csv,1,2025-01-03 23:40:00,2025-01-04 16:42:00,17.03,17,502.2
quiet/QUIET_Wind_2025-01-03_05-38.csv,0,2025-01-03 05:38:00,2025-01-03 22:40:00,17.03,17,429.6
icme/ICME_Wind_2025-01-01_03-32.csv,1,2025-01-01 03:32:00,2025-01-01 16:18:00,12.77,13,512.4
quiet/QUIET_Wind_2024-12-31_13-46.csv,0,2024-12-31 13:46:00,2025-01-01 02:32:00,12.77,13,420.2
icme/ICME_Wind_2024-12-31_15-48.csv,1,2024-12-31 15:48:00,2025-01-01 01:40:00,9.87,10,429.3
quiet/QUIET_Wind_2024-12-31_04-56.csv,0,2024-12-31 04:56:00,2024-12-31 14:48:00,9.87,10,353.7
icme/ICME_Wind_2024-12-17_04-28.csv,1,2024-12-17 04:28:00,2024-12-17 14:16:00,9.8,10,612.0
quiet/QUIET_Wind_2024-12-16_17-40.csv,0,2024-12-16 17:40:00,2024-12-17 03:28:00,9.8,10,381.3
icme/ICME_Wind_2024-12-07_23-14.csv,1,2024-12-07 23:14:00,2024-12-08 17:50:00,18.6,18,354.9
quiet/QUIET_Wind_2024-12-07_03-38.csv,0,2024-12-07 03:38:00,2024-12-07 22:14:00,18.6,19,361.2
icme/ICME_Wind_2024-11-29_02-14.csv,1,2024-11-29 02:14:00,2024-11-29 17:08:00,14.9,15,393.7
quiet/QUIET_Wind_2024-11-28_10-20.csv,0,2024-11-28 10:20:00,2024-11-29 01:14:00,14.9,15,345.1
icme/ICME_Wind_2024-11-14_02-56.csv,1,2024-11-14 02:56:00,2024-11-14 15:30:00,12.57,13,366.7
quiet/QUIET_Wind_2024-11-13_13-22.csv,0,2024-11-13 13:22:00,2024-11-14 01:56:00,12.57,12,328.2
icme/ICME_Wind_2024-11-09_22-00.csv,1,2024-11-09 22:00:00,2024-11-10 10:58:00,12.97,13,406.8
quiet/QUIET_Wind_2024-11-09_08-02.csv,0,2024-11-09 08:02:00,2024-11-09 21:00:00,12.97,13,399.4
icme/ICME_Wind_2024-11-08_22-00.csv,1,2024-11-08 22:00:00,2024-11-09 11:50:00,13.83,14,398.1
quiet/QUIET_Wind_2024-11-08_07-10.csv,0,2024-11-08 07:10:00,2024-11-08 21:00:00,13.83,14,369.9
