window_size,forecast_lag_min,input_start,input_end,max_available_coeffs,best_val_k,best_val_css,best_val_tss,best_val_hss,best_val_f1,elbow_k,elbow_val_css,elbow_tolerance,elbow_threshold_css,cv_selected_k,cv_css_mean,cv_tss_mean,cv_hss_mean,cv_f1_mean,cv_folds_used,cv_candidates,selection_source
45,5,355,715,23,11,0.8764044943820225,0.9649328859060402,0.927967298202208,0.934131736526946,11,0.8764044943820225,0.005,0.8714044943820225,11,,,,,,,experiment12_results_log
45,15,345,705,23,10,0.782608695652174,0.8865771812080538,0.8668452999398479,0.8780487804878049,10,0.782608695652174,0.005,0.7776086956521739,10,,,,,,,experiment12_results_log
45,30,330,690,23,11,0.7065217391304348,0.7990771812080537,0.8129560875688132,0.8280254777070064,11,0.7065217391304348,0.005,0.7015217391304348,11,,,,,,,experiment12_results_log
45,60,300,660,23,14,0.5151515151515151,0.6162472035794182,0.6534321719792439,0.68,14,0.5151515151515151,0.005,0.5101515151515151,14,,,,,,,experiment12_results_log
45,120,240,600,23,21,0.2916666666666667,0.3321029082774047,0.4176689878314694,0.4516129032258064,21,0.2916666666666667,0.005,0.2866666666666667,21,,,,,,,experiment12_results_log
90,5,355,715,46,20,0.9186046511627908,0.980788590604027,0.9536537285024812,0.9575757575757576,20,0.9186046511627908,0.005,0.9136046511627908,20,,,,,,,experiment12_results_log
90,15,345,705,46,11,0.7777777777777778,0.8638143176733781,0.8638143176733781,0.875,11,0.7777777777777778,0.005,0.7727777777777778,11,,,,,,,experiment12_results_log
90,30,330,690,46,21,0.7111111111111111,0.7888143176733782,0.8166999623613885,0.8311688311688312,21,0.7111111111111111,0.005,0.7061111111111111,21,,,,,,,experiment12_results_log
90,60,300,660,46,13,0.5652173913043478,0.6365771812080538,0.7003445729756338,0.7222222222222222,13,0.5652173913043478,0.005,0.5602173913043478,13,,,,,,,experiment12_results_log
90,120,240,600,46,44,0.3894736842105263,0.4457214765100672,0.5302042445612402,0.5606060606060606,36,0.3870967741935484,0.005,0.3844736842105263,44,,,,,,,experiment12_results_log
180,5,355,715,91,23,0.8837209302325582,0.9432885906040268,0.9326734315812758,0.9382716049382716,23,0.8837209302325582,0.005,0.8787209302325582,23,,,,,,,experiment12_results_log
180,15,345,705,91,19,0.7906976744186046,0.8432885906040268,0.8730999739424998,0.8831168831168831,19,0.7906976744186046,0.005,0.7856976744186046,19,,,,,,,experiment12_results_log
180,30,330,690,91,28,0.6813186813186813,0.762695749440716,0.7943382213743793,0.8104575163398693,28,0.6813186813186813,0.005,0.6763186813186813,28,,,,,,,experiment12_results_log
180,60,300,660,91,11,0.5473684210526316,0.6332214765100672,0.6838092074468888,0.7074829931972789,3,0.5425531914893617,0.005,0.5423684210526316,11,,,,,,,experiment12_results_log
180,120,240,600,91,76,0.358695652173913,0.3990771812080536,0.4983326058489742,0.528,76,0.358695652173913,0.005,0.353695652173913,76,,,,,,,experiment12_results_log
360,5,355,715,181,94,0.8181818181818182,0.8910514541387025,0.8910514541387025,0.9,42,0.8131868131868132,0.005,0.8131818181818182,94,,,,,,,experiment12_results_log
360,15,345,705,181,76,0.7126436781609196,0.7671700223713647,0.8184001312590427,0.8322147651006712,72,0.7078651685393258,0.005,0.7076436781609196,76,,,,,,,experiment12_results_log
360,30,330,690,181,3,0.6451612903225806,0.7354586129753915,0.7659710794949833,0.7843137254901961,3,0.6451612903225806,0.005,0.6401612903225806,3,,,,,,,experiment12_results_log
360,60,300,660,181,7,0.5212765957446809,0.5968400447427293,0.6607637652667915,0.6853146853146853,7,0.5212765957446809,0.005,0.5162765957446809,7,,,,,,,experiment12_results_log
360,120,240,600,181,111,0.348314606741573,0.3774328859060403,0.4886676321506155,0.5166666666666667,111,0.348314606741573,0.005,0.343314606741573,111,,,,,,,experiment12_results_log
