forecast_lag_min,top_percent,top_percent_label,windows_used,total_concat_features,feature_count_cumimp_gt50,cumimp_reached_at_gt50,train_accuracy,train_f1,train_precision,train_recall,train_tss,train_hss,train_css,val_accuracy,val_f1,val_precision,val_recall,val_tss,val_hss,val_css,test_accuracy,test_f1,test_precision,test_recall,test_tss,test_hss,test_css,window45_total_features,window45_selected_features,window90_total_features,window90_selected_features,window180_total_features,window180_selected_features,window360_total_features,window360_selected_features
5,0.05,5%,"45,90,180,360",294,25,0.5037457044057089,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9876796714579056,0.926829268292683,0.9047619047619048,0.95,0.9410514541387025,0.9201071799639088,0.8636363636363636,0.9848156182212582,0.9186046511627907,0.8977272727272727,0.9404761904761905,0.9297363336742812,0.9102364394993046,0.8494623655913979,1472,74,1472,74,1456,73,1448,73
5,0.1,10%,"45,90,180,360",587,32,0.5007836223032959,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9897330595482546,0.9382716049382716,0.926829268292683,0.95,0.9432885906040269,0.9326734315812758,0.8837209302325582,0.9837310195227765,0.9132947976878613,0.8876404494382022,0.9404761904761905,0.9285430162518469,0.9043264108914316,0.8404255319148937,1472,148,1472,148,1456,146,1448,145
5,0.15,15%,"45,90,180,360",879,40,0.501002892104267,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9835728952772074,0.9024390243902439,0.8809523809523809,0.925,0.9138143176733782,0.8934762399518784,0.8222222222222222,0.9837310195227765,0.9132947976878613,0.8876404494382022,0.9404761904761905,0.9285430162518469,0.9043264108914316,0.8404255319148937,1472,221,1472,221,1456,219,1448,218
5,0.2,20%,"45,90,180,360",1172,36,0.5035036030690242,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9845995893223819,0.9101796407185628,0.8735632183908046,0.95,0.9376957494407159,0.9017735884575563,0.8351648351648352,0.9837310195227765,0.9132947976878613,0.8876404494382022,0.9404761904761905,0.9285430162518469,0.9043264108914316,0.8404255319148937,1472,295,1472,295,1456,292,1448,290
5,0.25,25%,"45,90,180,360",1462,42,0.5053715412298947,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9856262833675564,0.9146341463414634,0.8928571428571429,0.9375,0.9274328859060401,0.9067917099578936,0.8426966292134831,0.9837310195227765,0.9122807017543859,0.896551724137931,0.9285714285714286,0.9178315717695193,0.9033178138500901,0.8387096774193549,1472,368,1472,368,1456,364,1448,362
15,0.05,5%,"45,90,180,360",294,30,0.5065827427358651,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9753593429158111,0.84,0.9,0.7875,0.7796700223713646,0.826716085989622,0.7241379310344828,0.9793926247288504,0.8834355828220859,0.9113924050632911,0.8571428571428571,0.8487896351858164,0.8721444523917264,0.7912087912087912,1472,74,1472,74,1456,73,1448,73
15,0.1,10%,"45,90,180,360",587,38,0.5062125066186745,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9743326488706365,0.8322147651006712,0.8985507246376812,0.775,0.7671700223713647,0.8184001312590427,0.7126436781609196,0.982646420824295,0.9036144578313253,0.9146341463414634,0.8928571428571429,0.8845039209001024,0.8940808179442259,0.8241758241758241,1472,148,1472,148,1456,146,1448,145
15,0.15,15%,"45,90,180,360",879,40,0.5046289827199156,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9743326488706365,0.8344370860927153,0.8873239436619719,0.7875,0.7785514541387024,0.8205785696390939,0.7159090909090909,0.9804772234273319,0.891566265060241,0.9024390243902439,0.8809523809523809,0.871405841572906,0.8808409201872541,0.8043478260869565,1472,221,1472,221,1456,219,1448,218
15,0.2,20%,"45,90,180,360",1172,43,0.5062437116202756,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9753593429158111,0.8421052631578947,0.8888888888888888,0.8,0.7910514541387026,0.8287823743114966,0.7272727272727273,0.982646420824295,0.9036144578313253,0.9146341463414634,0.8928571428571429,0.8845039209001024,0.8940808179442259,0.8241758241758241,1472,295,1472,295,1456,292,1448,290
15,0.25,25%,"45,90,180,360",1462,43,0.5039597241322396,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9763860369609856,0.8496732026143791,0.8904109589041096,0.8125,0.8035514541387023,0.8368889341934732,0.7386363636363636,0.9815618221258134,0.896969696969697,0.9135802469135802,0.8809523809523809,0.8725991589953404,0.8868482984652257,0.8131868131868132,1472,368,1472,368,1456,364,1448,362
