window_size,forecast_lag_min,input_start,input_end,model_name,model_label,max_available_coeffs,baseline_total_features,baseline_cumimp95_features,baseline_cumimp95_fraction,baseline_cumimp95_reached,selection_drop_tolerance_css,selection_css_threshold,best_candidate_feature_count,best_candidate_feature_fraction,best_candidate_val_css,selected_feature_count,selected_feature_fraction,selected_target_fraction,selected_equivalent_k,selected_val_css_drop_from_best,selected_val_css,selected_val_tss,selected_val_hss,selected_val_f1,selected_test_css,selected_test_tss,selected_test_hss,selected_test_f1
360,5,355,715,RandomForestClassifier,RandomForestClassifier_W360_lag5,181,1448,493,0.3404696132596685,0.9500074192262921,0.005,0.7881034482758621,349,0.24102209944751382,0.7931034482758621,349,0.24102209944751382,0.24047,44,0.0,0.7931034482758621,0.8546700223713648,0.8745779202197677,0.8846153846153846,0.8461538461538461,0.9083134447096262,0.908313444709626,0.9166666666666666
360,15,345,705,RandomForestClassifier,RandomForestClassifier_W360_lag15,181,1448,743,0.513121546961326,0.9500060286422195,0.005,0.6961494252873563,599,0.4136740331491713,0.7011494252873564,599,0.4136740331491713,0.413122,75,0.0,0.7011494252873564,0.7546700223713647,0.8099825919923165,0.8243243243243243,0.7888888888888889,0.8380781907034889,0.8707215916638378,0.8819875776397516
360,30,330,690,RandomForestClassifier,RandomForestClassifier_W360_lag30,181,1448,841,0.5808011049723757,0.9501119475501564,0.005,0.62,769,0.5310773480662984,0.625,769,0.5310773480662984,0.530801,97,0.0,0.625,0.6785514541387023,0.7512267611956471,0.7692307692307693,0.75,0.8118820320490965,0.8435050846456984,0.8571428571428571
360,60,300,660,RandomForestClassifier,RandomForestClassifier_W360_lag60,181,1448,957,0.6609116022099447,0.9500520574101623,0.005,0.4792105263157895,1102,0.761049723756906,0.4842105263157895,1102,0.761049723756906,0.760912,138,0.0,0.4842105263157895,0.558221476510067,0.6258955586561525,0.6524822695035462,0.5656565656565656,0.648766905330151,0.6973171886213373,0.7225806451612903
360,120,240,600,RandomForestClassifier,RandomForestClassifier_W360_lag120,181,1448,1027,0.7092541436464088,0.9502185388211352,0.005,0.32467032967032966,1172,0.8093922651933702,0.32967032967032966,1172,0.8093922651933702,0.809254,147,0.0,0.32967032967032966,0.3626957494407159,0.4661527126350028,0.49586776859504134,0.38235294117647056,0.4428060006818957,0.5176622988391211,0.5531914893617021
180,5,355,715,RandomForestClassifier,RandomForestClassifier_W180_lag5,91,1456,368,0.25274725274725274,0.9500785578278259,0.005,0.8376966292134831,223,0.15315934065934067,0.8426966292134831,223,0.15315934065934067,0.152747,14,0.0,0.8426966292134831,0.9274328859060401,0.9067917099578936,0.9146341463414634,0.8210526315789474,0.9154449369246507,0.8915699323436225,0.9017341040462428
180,15,345,705,RandomForestClassifier,RandomForestClassifier_W180_lag15,91,1456,560,0.38461538461538464,0.9500525641470493,0.005,0.7141011235955056,415,0.2850274725274725,0.7191011235955056,415,0.2850274725274725,0.284615,26,0.0,0.7191011235955056,0.7899328859060404,0.8227053632537753,0.8366013071895425,0.782608695652174,0.8475963177633821,0.8661517914174555,0.8780487804878049
180,30,330,690,RandomForestClassifier,RandomForestClassifier_W180_lag30,91,1456,795,0.5460164835164835,0.9501439716797071,0.005,0.6427272727272727,650,0.44642857142857145,0.6477272727272727,650,0.44642857142857145,0.446016,41,0.0,0.6477272727272727,0.7035514541387025,0.7692119544446993,0.7862068965517242,0.6767676767676768,0.7797192862825322,0.7881616358884517,0.8072289156626506
180,60,300,660,RandomForestClassifier,RandomForestClassifier_W180_lag60,91,1456,901,0.6188186813186813,0.9501366584097038,0.005,0.5207731958762887,756,0.5192307692307693,0.5257731958762887,756,0.5192307692307693,0.518819,48,0.0,0.5257731958762887,0.6184843400447426,0.6638153550633291,0.6891891891891891,0.5686274509803921,0.6689964768723717,0.6989432438850629,0.725
180,120,240,600,RandomForestClassifier,RandomForestClassifier_W180_lag120,91,1456,1003,0.6888736263736264,0.9500023330251772,0.005,0.34606382978723405,1149,0.7891483516483516,0.35106382978723405,1149,0.7891483516483516,0.788874,72,0.0,0.35106382978723405,0.39684004474272916,0.4885950868494896,0.5196850393700787,0.3942307692307692,0.46422888964655074,0.5294470277539249,0.5655172413793104
90,5,355,715,RandomForestClassifier,RandomForestClassifier_W90_lag5,46,1472,467,0.3172554347826087,0.9501044462217879,0.005,0.8714044943820225,320,0.21739130434782608,0.8764044943820225,320,0.21739130434782608,0.217255,10,0.0,0.8764044943820225,0.9649328859060402,0.9279672982022079,0.9341317365269461,0.8191489361702128,0.9047334924423229,0.8904268556967688,0.9005847953216374
90,15,345,705,RandomForestClassifier,RandomForestClassifier_W90_lag15,46,1472,575,0.390625,0.9500876522279833,0.005,0.6995454545454546,575,0.390625,0.7045454545454546,575,0.390625,0.390625,18,0.0,0.7045454545454546,0.7660514541387025,0.8122757598220904,0.8266666666666667,0.7659574468085106,0.8452096829185134,0.8543611246733106,0.8674698795180723
