forecast_lag_min,window_size,top_percent,top_percent_label,total_features_in_window_model,selected_feature_count,selected_feature_fraction,window_model_feature_count_cumimp_gt50,window_model_cumimp_reached_gt50,max_available_coeffs,n_slices,channels
5,45,0.05,5%,1472,74,0.050271739130434784,26,0.5038422820363486,23,8,4
5,45,0.1,10%,1472,148,0.10054347826086957,26,0.5038422820363486,23,8,4
5,45,0.15,15%,1472,221,0.15013586956521738,26,0.5038422820363486,23,8,4
5,45,0.2,20%,1472,295,0.20040760869565216,26,0.5038422820363486,23,8,4
5,45,0.25,25%,1472,368,0.25,26,0.5038422820363486,23,8,4
5,90,0.05,5%,1472,74,0.050271739130434784,31,0.5038905116898045,46,4,4
5,90,0.1,10%,1472,148,0.10054347826086957,31,0.5038905116898045,46,4,4
5,90,0.15,15%,1472,221,0.15013586956521738,31,0.5038905116898045,46,4,4
5,90,0.2,20%,1472,295,0.20040760869565216,31,0.5038905116898045,46,4,4
5,90,0.25,25%,1472,368,0.25,31,0.5038905116898045,46,4,4
5,180,0.05,5%,1456,73,0.05013736263736264,29,0.5101744066696345,91,2,4
5,180,0.1,10%,1456,146,0.10027472527472528,29,0.5101744066696345,91,2,4
5,180,0.15,15%,1456,219,0.1504120879120879,29,0.5101744066696345,91,2,4
5,180,0.2,20%,1456,292,0.20054945054945056,29,0.5101744066696345,91,2,4
5,180,0.25,25%,1456,364,0.25,29,0.5101744066696345,91,2,4
5,360,0.05,5%,1448,73,0.05041436464088398,31,0.5028768269570072,181,1,4
5,360,0.1,10%,1448,145,0.10013812154696132,31,0.5028768269570072,181,1,4
5,360,0.15,15%,1448,218,0.1505524861878453,31,0.5028768269570072,181,1,4
5,360,0.2,20%,1448,290,0.20027624309392264,31,0.5028768269570072,181,1,4
5,360,0.25,25%,1448,362,0.25,31,0.5028768269570072,181,1,4
15,45,0.05,5%,1472,74,0.050271739130434784,29,0.5015870440282512,23,8,4
15,45,0.1,10%,1472,148,0.10054347826086957,29,0.5015870440282512,23,8,4
15,45,0.15,15%,1472,221,0.15013586956521738,29,0.5015870440282512,23,8,4
15,45,0.2,20%,1472,295,0.20040760869565216,29,0.5015870440282512,23,8,4
15,45,0.25,25%,1472,368,0.25,29,0.5015870440282512,23,8,4
15,90,0.05,5%,1472,74,0.050271739130434784,31,0.5018642151816473,46,4,4
15,90,0.1,10%,1472,148,0.10054347826086957,31,0.5018642151816473,46,4,4
15,90,0.15,15%,1472,221,0.15013586956521738,31,0.5018642151816473,46,4,4
15,90,0.2,20%,1472,295,0.20040760869565216,31,0.5018642151816473,46,4,4
15,90,0.25,25%,1472,368,0.25,31,0.5018642151816473,46,4,4
