forecast_lag_min,top_percent,top_percent_label,selection_scope,total_features_in_global_model,selected_feature_count,selected_feature_fraction,global_model_feature_count_cumimp_gt50,global_model_cumimp_reached_gt50,window45_total_features,window45_selected_features,window90_total_features,window90_selected_features,window180_total_features,window180_selected_features,window360_total_features,window360_selected_features
5,0.05,5%,global_concat_all_windows,5848,293,0.050102599179206564,60,0.5017793864300869,1472,49,1472,54,1456,95,1448,95
5,0.1,10%,global_concat_all_windows,5848,585,0.10003419972640219,60,0.5017793864300869,1472,131,1472,124,1456,165,1448,165
5,0.15,15%,global_concat_all_windows,5848,878,0.15013679890560874,60,0.5017793864300869,1472,213,1472,198,1456,234,1448,233
5,0.25,25%,global_concat_all_windows,5848,1462,0.25,60,0.5017793864300869,1472,371,1472,341,1456,378,1448,372
5,0.5,50%,global_concat_all_windows,5848,2924,0.5,60,0.5017793864300869,1472,1175,1472,902,1456,440,1448,407
5,1.0,100%,global_concat_all_windows,5848,5848,1.0,60,0.5017793864300869,1472,1472,1472,1472,1456,1456,1448,1448
15,0.05,5%,global_concat_all_windows,5848,293,0.050102599179206564,61,0.5000712068137533,1472,61,1472,65,1456,91,1448,76
15,0.1,10%,global_concat_all_windows,5848,585,0.10003419972640219,61,0.5000712068137533,1472,134,1472,143,1456,155,1448,153
15,0.15,15%,global_concat_all_windows,5848,878,0.15013679890560874,61,0.5000712068137533,1472,215,1472,225,1456,226,1448,212
15,0.25,25%,global_concat_all_windows,5848,1462,0.25,61,0.5000712068137533,1472,365,1472,359,1456,375,1448,363
15,0.5,50%,global_concat_all_windows,5848,2924,0.5,61,0.5000712068137533,1472,1043,1472,858,1456,519,1448,504
15,1.0,100%,global_concat_all_windows,5848,5848,1.0,61,0.5000712068137533,1472,1472,1472,1472,1456,1456,1448,1448
30,0.05,5%,global_concat_all_windows,5848,293,0.050102599179206564,92,0.5017480029010295,1472,58,1472,68,1456,90,1448,77
30,0.1,10%,global_concat_all_windows,5848,585,0.10003419972640219,92,0.5017480029010295,1472,129,1472,133,1456,162,1448,161
30,0.15,15%,global_concat_all_windows,5848,878,0.15013679890560874,92,0.5017480029010295,1472,195,1472,219,1456,224,1448,240
30,0.25,25%,global_concat_all_windows,5848,1462,0.25,92,0.5017480029010295,1472,337,1472,378,1456,369,1448,378
30,0.5,50%,global_concat_all_windows,5848,2924,0.5,92,0.5017480029010295,1472,784,1472,806,1456,638,1448,696
30,1.0,100%,global_concat_all_windows,5848,5848,1.0,92,0.5017480029010295,1472,1472,1472,1472,1456,1456,1448,1448
60,0.05,5%,global_concat_all_windows,5848,293,0.050102599179206564,143,0.5005984152429985,1472,51,1472,77,1456,81,1448,84
60,0.1,10%,global_concat_all_windows,5848,585,0.10003419972640219,143,0.5005984152429985,1472,122,1472,162,1456,162,1448,139
60,0.15,15%,global_concat_all_windows,5848,878,0.15013679890560874,143,0.5005984152429985,1472,200,1472,226,1456,249,1448,203
60,0.25,25%,global_concat_all_windows,5848,1462,0.25,143,0.5005984152429985,1472,341,1472,370,1456,392,1448,359
60,0.5,50%,global_concat_all_windows,5848,2924,0.5,143,0.5005984152429985,1472,745,1472,725,1456,743,1448,711
60,1.0,100%,global_concat_all_windows,5848,5848,1.0,143,0.5005984152429985,1472,1472,1472,1472,1456,1456,1448,1448
120,0.05,5%,global_concat_all_windows,5848,293,0.050102599179206564,246,0.5000249398602895,1472,85,1472,74,1456,57,1448,77
120,0.1,10%,global_concat_all_windows,5848,585,0.10003419972640219,246,0.5000249398602895,1472,164,1472,166,1456,117,1448,138
120,0.15,15%,global_concat_all_windows,5848,878,0.15013679890560874,246,0.5000249398602895,1472,247,1472,222,1456,199,1448,210
120,0.25,25%,global_concat_all_windows,5848,1462,0.25,246,0.5000249398602895,1472,408,1472,369,1456,334,1448,351
120,0.5,50%,global_concat_all_windows,5848,2924,0.5,246,0.5000249398602895,1472,768,1472,727,1456,703,1448,726
120,1.0,100%,global_concat_all_windows,5848,5848,1.0,246,0.5000249398602895,1472,1472,1472,1472,1456,1456,1448,1448
