forecast_lag_min,top_percent,top_percent_label,windows_used,total_concat_features,global_total_features_before_selection,baseline_feature_count_cumimp_gt50,baseline_cumimp_reached_gt50,feature_count_cumimp_gt50,cumimp_reached_at_gt50,train_accuracy,train_f1,train_precision,train_recall,train_tss,train_hss,train_css,val_accuracy,val_f1,val_precision,val_recall,val_tss,val_hss,val_css,test_accuracy,test_f1,test_precision,test_recall,test_tss,test_hss,test_css,channel_unmatched_feature_count,window45_total_features,window45_selected_features,window90_total_features,window90_selected_features,window180_total_features,window180_selected_features,window360_total_features,window360_selected_features,importance_sum_p3,importance_share_p3,feature_count_p3,importance_sum_norm_p3,importance_share_norm_p3,importance_sum_p5,importance_share_p5,feature_count_p5,importance_sum_norm_p5,importance_share_norm_p5,importance_sum_p7,importance_share_p7,feature_count_p7,importance_sum_norm_p7,importance_share_norm_p7,importance_sum_long_xray,importance_share_long_xray,feature_count_long_xray,importance_sum_norm_long_xray,importance_share_norm_long_xray
5,0.05,5%,"45,90,180,360",293,5848,60,0.5017793864300869,27,0.5062641771791759,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9866529774127311,0.9212121212121213,0.8941176470588236,0.95,0.9399328859060403,0.9139283529331792,0.8539325842696629,0.9859002169197397,0.9248554913294798,0.898876404494382,0.9523809523809523,0.9416410955790431,0.9170828894392407,0.8602150537634409,0,1472,49,1472,54,1456,95,1448,95,0.9547174831111328,0.9547174831111328,242,0.012659307260163682,0.5712051925776265,0.011586621760423712,0.011586621760423712,18,0.001852689095861851,0.08359585639558559,0.026061499525014888,0.026061499525014888,25,0.0038332571376290298,0.17296178507248272,0.007634395603429437,0.007634395603429437,8,0.0038171978017147185,0.17223716595430483
5,0.1,10%,"45,90,180,360",585,5848,60,0.5017793864300869,29,0.5012918298812328,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9866529774127311,0.9212121212121213,0.8941176470588236,0.95,0.9399328859060403,0.9139283529331792,0.8539325842696629,0.9837310195227765,0.9132947976878613,0.8876404494382022,0.9404761904761905,0.9285430162518469,0.9043264108914316,0.8404255319148937,0,1472,131,1472,124,1456,165,1448,165,0.9373792056874479,0.9373792056874479,366,0.009227614947689746,0.7326287945464947,0.023666061883543907,0.023666061883543907,95,0.0010072063764167468,0.07996740193396226,0.02701785327103202,0.02701785327103202,74,0.0013397721180638414,0.10637154209277677,0.011936879157975701,0.011936879157975701,50,0.0010206185074251599,0.0810322614267669
5,0.15,15%,"45,90,180,360",878,5848,60,0.5017793864300869,35,0.5071427257106592,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9866529774127311,0.9212121212121213,0.8941176470588236,0.95,0.9399328859060403,0.9139283529331792,0.8539325842696629,0.9837310195227765,0.9122807017543859,0.896551724137931,0.9285714285714286,0.9178315717695193,0.9033178138500901,0.8387096774193549,0,1472,213,1472,198,1456,234,1448,233,0.9274785975656191,0.9274785975656191,454,0.00772696562165103,0.7960481926631335,0.026794691703491278,0.026794691703491278,173,0.0006200191016187214,0.06387566729651663,0.033117937546315174,0.033117937546315174,152,0.0008497908829830889,0.08754723777271746,0.012608773184574278,0.012608773184574278,99,0.0005098799616731544,0.0525289022676324
5,0.25,25%,"45,90,180,360",1462,5848,60,0.5017793864300869,37,0.5081895548646539,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9866529774127311,0.9202453987730062,0.9036144578313253,0.9375,0.9285514541387023,0.9129651778226859,0.8522727272727273,0.9837310195227765,0.9122807017543859,0.896551724137931,0.9285714285714286,0.9178315717695193,0.9033178138500901,0.8387096774193549,0,1472,371,1472,341,1456,378,1448,372,0.9215102039415103,0.9215102039415103,616,0.005781173393497026,0.8410151872083631,0.03136789693146086,0.03136789693146086,327,0.0003828785574471518,0.05569919110741338,0.030496847645714822,0.030496847645714822,298,0.00040682513796635387,0.059182815715699784,0.016625051481314296,0.016625051481314296,221,0.0003031645234494694,0.044102805968523465
5,0.5,50%,"45,90,180,360",2924,5848,60,0.5017793864300869,49,0.5002913579950409,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9866529774127311,0.9202453987730062,0.9036144578313253,0.9375,0.9285514541387023,0.9129651778226859,0.8522727272727273,0.9837310195227765,0.9132947976878613,0.8876404494382022,0.9404761904761905,0.9285430162518469,0.9043264108914316,0.8404255319148937,0,1472,1175,1472,902,1456,440,1448,407,0.9188932837362904,0.9188932837362904,921,0.005098493746567161,0.9026900689514182,0.0307124249012894,0.0307124249012894,650,0.00020168441341725634,0.03570829466577855,0.03352904296156906,0.03352904296156906,744,0.00020550584401313575,0.03638488026528234,0.016865248400851334,0.016865248400851334,609,0.0001424270386880831,0.025216756117521395
5,1.0,100%,"45,90,180,360",5848,5848,60,0.5017793864300869,61,0.5048065187178465,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9856262833675564,0.9135802469135802,0.9024390243902439,0.925,0.9160514541387026,0.9057428042137861,0.8409090909090909,0.9837310195227765,0.9132947976878613,0.8876404494382022,0.9404761904761905,0.9285430162518469,0.9043264108914316,0.8404255319148937,0,1472,1472,1472,1472,1456,1456,1448,1448,0.9024912696668735,0.9024912696668733,1462,0.0024777415076927697,0.9027881361849748,0.036088349011713886,0.03608834901171388,1462,9.879119030442974e-05,0.03599548794316367,0.038509442055157356,0.03850944205515735,1462,0.00010536740865902185,0.03839159419276838,0.022910939266254884,0.02291093926625488,1462,6.264361116806568e-05,0.022824781679093034
15,0.05,5%,"45,90,180,360",293,5848,61,0.5000712068137533,30,0.5036568762723548,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9753593429158111,0.84,0.9,0.7875,0.7796700223713646,0.826716085989622,0.7241379310344828,0.982646420824295,0.9024390243902439,0.925,0.8809523809523809,0.8737924764177747,0.8929214331339643,0.8222222222222222,0,1472,61,1472,65,1456,91,1448,76,0.9199158578353777,0.9199158578353777,218,0.015798747542517817,0.5883801718733441,0.00979429458046644,0.00979429458046644,16,0.0026124151922913615,0.09729209835832106,0.02739236380443015,0.02739236380443015,27,0.003884878118774944,0.14468142168107043,0.042897483779726,0.042897483779726,32,0.004555216713808359,0.16964630808726458
15,0.1,10%,"45,90,180,360",585,5848,61,0.5000712068137533,36,0.5032784925808396,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9743326488706365,0.8366013071895425,0.8767123287671232,0.8,0.7899328859060404,0.8227053632537753,0.7191011235955056,0.9815618221258134,0.896969696969697,0.9135802469135802,0.8809523809523809,0.8725991589953404,0.8868482984652257,0.8131868131868132,0,1472,134,1472,143,1456,155,1448,153,0.896644641543938,0.896644641543938,316,0.011014677968173164,0.7184132945383485,0.020975436508420608,0.020975436508420608,82,0.0010531045013354246,0.06868691726472932,0.03622352731866208,0.03622352731866208,84,0.0016852645601799518,0.10991846228695536,0.046156394628979504,0.046156394628979504,103,0.001578904719967191,0.1029813259099674
15,0.15,15%,"45,90,180,360",878,5848,61,0.5000712068137533,36,0.5005386393798197,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9763860369609856,0.8496732026143791,0.8904109589041096,0.8125,0.8035514541387023,0.8368889341934732,0.7386363636363636,0.9815618221258134,0.896969696969697,0.9135802469135802,0.8809523809523809,0.8725991589953404,0.8868482984652257,0.8131868131868132,0,1472,215,1472,225,1456,226,1448,212,0.8839030108383801,0.8839030108383801,406,0.008691268124245482,0.7582737217622662,0.023919566597510402,0.023919566597510402,138,0.0006888876374125171,0.06010232168992625,0.04044352982214597,0.04044352982214597,156,0.001003836142339326,0.08758015019323748,0.051733892741963376,0.051733892741963376,178,0.001077922012848605,0.09404380635456955
15,0.25,25%,"45,90,180,360",1462,5848,61,0.5000712068137533,41,0.5028003727871738,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9743326488706365,0.8344370860927153,0.8873239436619719,0.7875,0.7785514541387024,0.8205785696390939,0.7159090909090909,0.982646420824295,0.9036144578313253,0.9146341463414634,0.8928571428571429,0.8845039209001024,0.8940808179442259,0.8241758241758241,0,1472,365,1472,359,1456,375,1448,363,0.8746137871656746,0.8746137871656746,560,0.006310593877340221,0.7958989429649667,0.03110015051344362,0.03110015051344362,272,0.000457089364867365,0.0576486063609272,0.04133740302532274,0.04133740302532274,296,0.000541825790472549,0.06833565624571881,0.05294865929555946,0.05294865929555946,334,0.0006193793433130934,0.0781167944283874
