sample_id,train_index,forecast_lag_min,window_size,top_percent,top_percent_label,original_label,original_label_name,desired_counterfactual_label,desired_counterfactual_label_name,counterfactual_predicted_label,counterfactual_predicted_label_name,counterfactual_found,changed_feature_count,original_reconstruction_mse,counterfactual_reconstruction_mse,counterfactual_reconstruction_mae,error
2003-01-07_06-29,0,5,90,0.1,10%,0,0,1,1,1,1,True,37,8.185605964768371e-17,67113.5,111.81731414794922,
2003-01-07_22-25,1,5,90,0.1,10%,0,0,1,1,0,0,True,31,9.16006244579177e-17,9578.787109375,25.0703125,
2003-05-28_11-40,34,5,90,0.1,10%,1,1,0,0,0,0,True,20,9.89662046974385e-14,2.4430465698242188,0.4098935127258301,
2003-05-30_16-25,36,5,90,0.1,10%,1,1,0,0,0,0,True,57,1.0283957455688338e-14,0.16772574186325073,0.08827604353427887,
2003-01-07_06-29,0,15,45,0.05,5%,0,0,1,1,1,1,True,16,8.17560700552383e-17,3454.885498046875,14.724213600158691,
2003-01-07_22-25,1,15,45,0.05,5%,0,0,1,1,1,1,True,14,7.851852484237515e-17,6381.29443359375,20.04472541809082,
2003-05-28_11-40,34,15,45,0.05,5%,1,1,0,0,0,0,True,28,5.36669809341004e-14,1.028745412826538,0.20970705151557922,
2003-05-30_16-25,36,15,45,0.05,5%,1,1,0,0,0,0,True,23,3.2215000795015464e-15,0.05809018760919571,0.047966208308935165,
2003-01-07_06-29,0,30,45,0.5,50%,0,0,1,1,1,1,True,104,9.424066071838684e-17,52681280.0,1414.0157470703125,
2003-01-07_22-25,1,30,45,0.5,50%,0,0,1,1,0,0,True,101,6.490033939800434e-17,973609.9375,221.21681213378906,
2003-05-28_11-40,34,30,45,0.5,50%,1,1,0,0,0,0,True,8,5.600883729787835e-14,0.35056793689727783,0.10692400485277176,
2003-05-30_16-25,36,30,45,0.5,50%,1,1,0,0,0,0,True,215,3.0825928171407087e-15,57.60162353515625,1.9412176609039307,
2003-01-07_06-29,0,60,90,0.05,5%,0,0,1,1,1,1,True,26,9.540557586632282e-17,0.447273850440979,0.20093442499637604,
2003-01-07_22-25,1,60,90,0.05,5%,0,0,1,1,1,1,True,25,8.358777218623082e-17,503.64093017578125,7.93532657623291,
2003-06-18_12-15,43,60,90,0.05,5%,1,1,0,0,0,0,True,22,5.022252823035436e-14,2.6640381813049316,0.41257554292678833,
2003-10-29_09-45,73,60,90,0.05,5%,1,1,0,0,0,0,True,18,8.295701903193731e-10,74137.2109375,73.22518157958984,
2003-01-07_06-29,0,120,90,0.05,5%,0,0,1,1,0,0,True,19,1.0929119211145448e-16,0.842665433883667,0.31746914982795715,
2003-01-07_22-25,1,120,90,0.05,5%,0,0,1,1,1,1,True,19,7.993340735397975e-17,1.3523108959197998,0.37075275182724,
2003-05-28_11-40,34,120,90,0.05,5%,1,1,0,0,0,0,True,17,4.775587680839154e-14,3.528096914291382,0.6555508375167847,
2003-06-18_12-15,43,120,90,0.05,5%,1,1,0,0,0,0,True,24,3.743031478839996e-14,0.511242687702179,0.21215061843395233,
