forecast_lag_min,window_size,top_percent,top_percent_label,input_start,input_end,total_features,selected_feature_count,selected_feature_fraction,feature_count_cumimp_gt50,cumimp_reached_at_gt50,train_accuracy,train_f1,train_precision,train_recall,train_tss,train_hss,train_css,val_accuracy,val_f1,val_precision,val_recall,val_tss,val_hss,val_css,test_accuracy,test_f1,test_precision,test_recall,test_tss,test_hss,test_css
5,45,0.05,5%,355,715,1472,74,0.050271739130434784,10,0.5317753460591726,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9856262833675564,0.9156626506024096,0.8837209302325582,0.95,0.9388143176733781,0.9078175279197426,0.8444444444444444,0.9804772234273319,0.8941176470588236,0.8837209302325582,0.9047619047619048,0.8928287305375611,0.8833665982627273,0.8085106382978723
5,45,0.1,10%,355,715,1472,148,0.10054347826086957,13,0.5148788989412215,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9866529774127311,0.9230769230769231,0.8764044943820225,0.975,0.9626957494407158,0.9157921338600481,0.8571428571428571,0.9804772234273319,0.8941176470588236,0.8837209302325582,0.9047619047619048,0.8928287305375611,0.8833665982627273,0.8085106382978723
5,45,0.15,15%,355,715,1472,221,0.15013586956521738,14,0.5190089897801167,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9856262833675564,0.9166666666666666,0.875,0.9625,0.950195749440716,0.9088210120894404,0.8461538461538461,0.9804772234273319,0.8941176470588236,0.8837209302325582,0.9047619047619048,0.8928287305375611,0.8833665982627273,0.8085106382978723
5,45,0.25,25%,355,715,1472,368,0.25,16,0.5158278373163806,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9835728952772074,0.9047619047619048,0.8636363636363636,0.95,0.9365771812080537,0.895795442387932,0.8260869565217391,0.9804772234273319,0.8941176470588236,0.8837209302325582,0.9047619047619048,0.8928287305375611,0.8833665982627273,0.8085106382978723
5,45,0.5,50%,355,715,1472,736,0.5,20,0.5089520620224666,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9825462012320328,0.896969696969697,0.8705882352941177,0.925,0.912695749440716,0.8874447692203113,0.8131868131868132,0.9793926247288504,0.8888888888888888,0.8735632183908046,0.9047619047619048,0.8916354131151267,0.8775358975434475,0.8
5,45,1.0,100%,355,715,1472,1472,1.0,24,0.5049055458198142,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9835728952772074,0.9024390243902439,0.8809523809523809,0.925,0.9138143176733782,0.8934762399518784,0.8222222222222222,0.9804772234273319,0.8953488372093024,0.875,0.9166666666666666,0.9035401750198886,0.8845897079276773,0.8105263157894737
5,90,0.05,5%,355,715,1472,74,0.050271739130434784,12,0.5266478159193185,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9887063655030801,0.9333333333333333,0.9058823529411765,0.9625,0.9535514541387025,0.9271701447896132,0.875,0.9793926247288504,0.8875739644970414,0.8823529411764706,0.8928571428571429,0.8809239686327992,0.8762311181449505,0.7978723404255319
5,90,0.1,10%,355,715,1472,148,0.10054347826086957,15,0.5148978361198114,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9917864476386037,0.9512195121951219,0.9285714285714286,0.975,0.9682885906040268,0.9467381199759392,0.9069767441860465,0.9837310195227765,0.9132947976878613,0.8876404494382022,0.9404761904761905,0.9285430162518469,0.9043264108914316,0.8404255319148937
5,90,0.15,15%,355,715,1472,221,0.15013586956521738,19,0.51087908882219,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9897330595482546,0.9397590361445783,0.9069767441860465,0.975,0.9660514541387024,0.9341553770855304,0.8863636363636364,0.9848156182212582,0.9186046511627907,0.8977272727272727,0.9404761904761905,0.9297363336742812,0.9102364394993046,0.8494623655913979
5,90,0.25,25%,355,715,1472,368,0.25,21,0.5156578655758283,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9876796714579056,0.9285714285714286,0.8863636363636364,0.975,0.963814317673378,0.9218465817909489,0.8666666666666667,0.9837310195227765,0.9122807017543859,0.896551724137931,0.9285714285714286,0.9178315717695193,0.9033178138500901,0.8387096774193549
5,90,0.5,50%,355,715,1472,736,0.5,23,0.5124913735583773,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9887063655030801,0.9341317365269461,0.896551724137931,0.975,0.9649328859060402,0.9279672982022079,0.8764044943820225,0.9837310195227765,0.9122807017543859,0.896551724137931,0.9285714285714286,0.9178315717695193,0.9033178138500901,0.8387096774193549
5,90,1.0,100%,355,715,1472,1472,1.0,29,0.5020176761338999,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9897330595482546,0.9390243902439024,0.9166666666666666,0.9625,0.9546700223713647,0.933422649969924,0.8850574712643678,0.9837310195227765,0.9132947976878613,0.8876404494382022,0.9404761904761905,0.9285430162518469,0.9043264108914316,0.8404255319148937
5,180,0.05,5%,355,715,1456,73,0.05013736263736264,16,0.5040536547013467,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9866529774127311,0.9192546583850931,0.9135802469135802,0.925,0.9171700223713648,0.9119802021494015,0.8505747126436781,0.9750542299349241,0.8685714285714285,0.8351648351648352,0.9047619047619048,0.8868621434253892,0.8548150785282962,0.7676767676767676
5,180,0.1,10%,355,715,1456,146,0.10027472527472528,19,0.5124376922858978,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9856262833675564,0.9146341463414634,0.8928571428571429,0.9375,0.9274328859060401,0.9067917099578936,0.8426966292134831,0.9837310195227765,0.9132947976878613,0.8876404494382022,0.9404761904761905,0.9285430162518469,0.9043264108914316,0.8404255319148937
5,180,0.15,15%,355,715,1456,219,0.1504120879120879,22,0.5140712484880822,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9856262833675564,0.9156626506024096,0.8837209302325582,0.95,0.9388143176733781,0.9078175279197426,0.8444444444444444,0.9804772234273319,0.8977272727272727,0.8586956521739131,0.9404761904761905,0.9249630639845436,0.8869605492589363,0.8144329896907216
5,180,0.25,25%,355,715,1456,364,0.25,22,0.5098626406765161,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9835728952772074,0.9012345679012346,0.8902439024390244,0.9125,0.9024328859060402,0.8922774905300412,0.8202247191011236,0.982646420824295,0.9080459770114943,0.8777777777777778,0.9404761904761905,0.9273496988294125,0.8984777162991714,0.8315789473684211
5,180,0.5,50%,355,715,1456,728,0.5,27,0.5073373785375068,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9835728952772074,0.9024390243902439,0.8809523809523809,0.925,0.9138143176733782,0.8934762399518784,0.8222222222222222,0.9815618221258134,0.9017341040462428,0.8764044943820225,0.9285714285714286,0.9154449369246507,0.8915699323436225,0.8210526315789474
5,180,1.0,100%,355,715,1456,1456,1.0,32,0.5025423076992144,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9825462012320328,0.8957055214723927,0.8795180722891566,0.9125,0.901314317673378,0.8861852325373586,0.8111111111111111,0.982646420824295,0.9069767441860465,0.8863636363636364,0.9285714285714286,0.916638254347085,0.897413073713491,0.8297872340425532
5,360,0.05,5%,355,715,1448,73,0.05041436464088398,15,0.5096680525727152,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9794661190965093,0.8717948717948718,0.8947368421052632,0.85,0.8410514541387024,0.8606421335775196,0.7727272727272727,0.982646420824295,0.9036144578313253,0.9146341463414634,0.8928571428571429,0.8845039209001024,0.8940808179442259,0.8241758241758241
5,360,0.1,10%,355,715,1448,145,0.10013812154696132,18,0.5001075086763564,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9804928131416838,0.8774193548387097,0.9066666666666666,0.85,0.8421700223713646,0.8668345686119306,0.7816091954022989,0.9815618221258134,0.896969696969697,0.9135802469135802,0.8809523809523809,0.8725991589953404,0.8868482984652257,0.8131868131868132
5,360,0.15,15%,355,715,1448,218,0.1505524861878453,24,0.5117146580144782,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9815195071868583,0.8860759493670886,0.8974358974358975,0.875,0.8660514541387023,0.8760218369021017,0.7954545454545454,0.9837310195227765,0.9101796407185628,0.9156626506024096,0.9047619047619048,0.8964086828048643,0.9012354495465258,0.8351648351648352
5,360,0.25,25%,355,715,1448,362,0.25,28,0.5050550997235707,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9825462012320328,0.8944099378881988,0.8888888888888888,0.9,0.8899328859060402,0.8848971874261404,0.8089887640449438,0.9848156182212582,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.9083134447096262,0.908313444709626,0.8461538461538461
5,360,0.5,50%,355,715,1448,724,0.5,29,0.5002097105337151,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9804928131416838,0.8805031446540881,0.8860759493670886,0.875,0.8649328859060401,0.8698831437289947,0.7865168539325843,0.9837310195227765,0.9101796407185628,0.9156626506024096,0.9047619047619048,0.8964086828048643,0.9012354495465258,0.8351648351648352
5,360,1.0,100%,355,715,1448,1448,1.0,39,0.5075419854170138,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9815195071868583,0.8875,0.8875,0.8875,0.8774328859060403,0.8774328859060403,0.797752808988764,0.982646420824295,0.9047619047619048,0.9047619047619048,0.9047619047619048,0.89521536538243,0.8952153653824299,0.8260869565217391
15,45,0.05,5%,345,705,1472,74,0.050271739130434784,10,0.512718684648196,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9763860369609856,0.8588957055214724,0.8433734939759037,0.875,0.8604586129753915,0.8460153146093675,0.7526881720430108,0.9761388286334056,0.8658536585365854,0.8875,0.8452380952380952,0.8344982384361859,0.8527669705592009,0.7634408602150538
