sample_id,train_index,forecast_lag_min,window_size,top_percent,top_percent_label,original_label,original_label_name,desired_counterfactual_label,desired_counterfactual_label_name,counterfactual_predicted_label,counterfactual_predicted_label_name,counterfactual_found,changed_feature_count,original_reconstruction_mse,counterfactual_reconstruction_mse,counterfactual_reconstruction_mae,error
2003-01-07_06-29,0,5,90,0.1,10%,0,0,1,1,0,0,True,39,5.822502785360166e-15,0.0004991988535039127,0.008549844846129417,
2003-01-07_22-25,1,5,90,0.1,10%,0,0,1,1,1,1,True,38,5.2402527609340336e-15,0.0020059235394001007,0.0169876329600811,
2003-05-28_11-40,34,5,90,0.1,10%,1,1,0,0,0,0,True,9,4.164570045832013e-15,2.7655899792478067e-09,1.234056253451854e-05,
2003-05-30_16-25,36,5,90,0.1,10%,1,1,0,0,0,0,True,35,4.3125996412765426e-15,6.217229753247011e-08,8.763711957726628e-05,
2003-01-07_06-29,0,15,45,0.05,5%,0,0,1,1,1,1,True,18,4.470498017589532e-15,0.000959984608925879,0.008045502007007599,
2003-01-07_22-25,1,15,45,0.05,5%,0,0,1,1,1,1,True,16,5.940926885232263e-15,0.0002538542030379176,0.0032834894955158234,
2003-05-28_11-40,34,15,45,0.05,5%,1,1,0,0,0,0,True,18,4.697477012948793e-15,3.83165804640484e-10,3.3998655908362707e-06,
2003-05-30_16-25,36,15,45,0.05,5%,1,1,0,0,0,0,True,13,4.440892098500626e-15,2.1549755035987772e-10,3.3225451261387207e-06,
2003-01-07_06-29,0,30,90,0.15,15%,0,0,1,1,1,1,True,38,5.220515199197114e-15,0.001640771864913404,0.018005134537816048,
2003-01-07_22-25,1,30,90,0.15,15%,0,0,1,1,1,1,True,42,4.806031908435957e-15,0.0016347029013559222,0.014134053140878677,
2003-05-28_11-40,34,30,90,0.15,15%,1,1,0,0,0,0,True,5,6.069219342456347e-15,9.511433307629602e-12,8.996162250696216e-07,
2003-05-30_16-25,36,30,90,0.15,15%,1,1,0,0,0,0,True,78,5.11196030370995e-15,1.7628240129852202e-06,0.0006199048366397619,
2003-01-07_06-29,0,60,180,0.25,25%,0,0,1,1,1,1,True,54,6.138299537986145e-15,0.08871570229530334,0.09093549847602844,
2003-01-07_22-25,1,60,180,0.25,25%,0,0,1,1,0,0,True,46,5.79289686627126e-15,0.06635287404060364,0.09883272647857666,
2003-05-28_11-40,34,60,180,0.25,25%,1,1,0,0,0,0,True,6,6.375147314213866e-15,4.227519821142778e-05,0.0023001283407211304,
2003-06-18_12-15,43,60,180,0.25,25%,1,1,0,0,0,0,True,29,4.736951712906159e-15,5.422867155324695e-10,1.0060104614240117e-05,
2003-01-07_06-29,0,120,90,0.05,5%,0,0,1,1,1,1,True,22,5.171172141887762e-15,0.0022326232865452766,0.01714998669922352,
2003-01-07_22-25,1,120,90,0.05,5%,0,0,1,1,0,0,True,19,4.894850089219149e-15,2.7731668978958623e-06,0.0005425384151749313,
2003-05-28_11-40,34,120,90,0.05,5%,1,1,0,0,0,0,True,16,6.010007504278535e-15,1.881624633881529e-09,1.2621118003153242e-05,
2003-06-18_12-15,43,120,90,0.05,5%,1,1,0,0,0,0,True,13,4.450760879369086e-15,3.677258462175814e-07,0.000154029083205387,
