forecast_lag_min,window_size,top_percent,top_percent_label,selection_scope,total_features_in_window_model,selected_feature_count,selected_feature_fraction,max_available_coeffs,n_slices,channels
5,45,0.05,5%,within_single_window_model,1472,74,0.050271739130434784,23,8,4
5,45,0.1,10%,within_single_window_model,1472,148,0.10054347826086957,23,8,4
5,45,0.15,15%,within_single_window_model,1472,221,0.15013586956521738,23,8,4
5,45,0.25,25%,within_single_window_model,1472,368,0.25,23,8,4
5,45,0.5,50%,within_single_window_model,1472,736,0.5,23,8,4
5,45,1.0,100%,within_single_window_model,1472,1472,1.0,23,8,4
5,90,0.05,5%,within_single_window_model,1472,74,0.050271739130434784,46,4,4
5,90,0.1,10%,within_single_window_model,1472,148,0.10054347826086957,46,4,4
5,90,0.15,15%,within_single_window_model,1472,221,0.15013586956521738,46,4,4
5,90,0.25,25%,within_single_window_model,1472,368,0.25,46,4,4
5,90,0.5,50%,within_single_window_model,1472,736,0.5,46,4,4
5,90,1.0,100%,within_single_window_model,1472,1472,1.0,46,4,4
5,180,0.05,5%,within_single_window_model,1456,73,0.05013736263736264,91,2,4
5,180,0.1,10%,within_single_window_model,1456,146,0.10027472527472528,91,2,4
5,180,0.15,15%,within_single_window_model,1456,219,0.1504120879120879,91,2,4
5,180,0.25,25%,within_single_window_model,1456,364,0.25,91,2,4
5,180,0.5,50%,within_single_window_model,1456,728,0.5,91,2,4
5,180,1.0,100%,within_single_window_model,1456,1456,1.0,91,2,4
5,360,0.05,5%,within_single_window_model,1448,73,0.05041436464088398,181,1,4
5,360,0.1,10%,within_single_window_model,1448,145,0.10013812154696132,181,1,4
5,360,0.15,15%,within_single_window_model,1448,218,0.1505524861878453,181,1,4
5,360,0.25,25%,within_single_window_model,1448,362,0.25,181,1,4
5,360,0.5,50%,within_single_window_model,1448,724,0.5,181,1,4
5,360,1.0,100%,within_single_window_model,1448,1448,1.0,181,1,4
15,45,0.05,5%,within_single_window_model,1472,74,0.050271739130434784,23,8,4
15,45,0.1,10%,within_single_window_model,1472,148,0.10054347826086957,23,8,4
15,45,0.15,15%,within_single_window_model,1472,221,0.15013586956521738,23,8,4
15,45,0.25,25%,within_single_window_model,1472,368,0.25,23,8,4
15,45,0.5,50%,within_single_window_model,1472,736,0.5,23,8,4
15,45,1.0,100%,within_single_window_model,1472,1472,1.0,23,8,4
15,90,0.05,5%,within_single_window_model,1472,74,0.050271739130434784,46,4,4
15,90,0.1,10%,within_single_window_model,1472,148,0.10054347826086957,46,4,4
15,90,0.15,15%,within_single_window_model,1472,221,0.15013586956521738,46,4,4
15,90,0.25,25%,within_single_window_model,1472,368,0.25,46,4,4
15,90,0.5,50%,within_single_window_model,1472,736,0.5,46,4,4
15,90,1.0,100%,within_single_window_model,1472,1472,1.0,46,4,4
15,180,0.05,5%,within_single_window_model,1456,73,0.05013736263736264,91,2,4
15,180,0.1,10%,within_single_window_model,1456,146,0.10027472527472528,91,2,4
15,180,0.15,15%,within_single_window_model,1456,219,0.1504120879120879,91,2,4
15,180,0.25,25%,within_single_window_model,1456,364,0.25,91,2,4
15,180,0.5,50%,within_single_window_model,1456,728,0.5,91,2,4
15,180,1.0,100%,within_single_window_model,1456,1456,1.0,91,2,4
15,360,0.05,5%,within_single_window_model,1448,73,0.05041436464088398,181,1,4
15,360,0.1,10%,within_single_window_model,1448,145,0.10013812154696132,181,1,4
15,360,0.15,15%,within_single_window_model,1448,218,0.1505524861878453,181,1,4
15,360,0.25,25%,within_single_window_model,1448,362,0.25,181,1,4
15,360,0.5,50%,within_single_window_model,1448,724,0.5,181,1,4
15,360,1.0,100%,within_single_window_model,1448,1448,1.0,181,1,4
30,45,0.05,5%,within_single_window_model,1472,74,0.050271739130434784,23,8,4
30,45,0.1,10%,within_single_window_model,1472,148,0.10054347826086957,23,8,4
30,45,0.15,15%,within_single_window_model,1472,221,0.15013586956521738,23,8,4
30,45,0.25,25%,within_single_window_model,1472,368,0.25,23,8,4
30,45,0.5,50%,within_single_window_model,1472,736,0.5,23,8,4
30,45,1.0,100%,within_single_window_model,1472,1472,1.0,23,8,4
30,90,0.05,5%,within_single_window_model,1472,74,0.050271739130434784,46,4,4
30,90,0.1,10%,within_single_window_model,1472,148,0.10054347826086957,46,4,4
30,90,0.15,15%,within_single_window_model,1472,221,0.15013586956521738,46,4,4
30,90,0.25,25%,within_single_window_model,1472,368,0.25,46,4,4
30,90,0.5,50%,within_single_window_model,1472,736,0.5,46,4,4
30,90,1.0,100%,within_single_window_model,1472,1472,1.0,46,4,4
30,180,0.05,5%,within_single_window_model,1456,73,0.05013736263736264,91,2,4
30,180,0.1,10%,within_single_window_model,1456,146,0.10027472527472528,91,2,4
30,180,0.15,15%,within_single_window_model,1456,219,0.1504120879120879,91,2,4
30,180,0.25,25%,within_single_window_model,1456,364,0.25,91,2,4
30,180,0.5,50%,within_single_window_model,1456,728,0.5,91,2,4
30,180,1.0,100%,within_single_window_model,1456,1456,1.0,91,2,4
30,360,0.05,5%,within_single_window_model,1448,73,0.05041436464088398,181,1,4
30,360,0.1,10%,within_single_window_model,1448,145,0.10013812154696132,181,1,4
30,360,0.15,15%,within_single_window_model,1448,218,0.1505524861878453,181,1,4
30,360,0.25,25%,within_single_window_model,1448,362,0.25,181,1,4
30,360,0.5,50%,within_single_window_model,1448,724,0.5,181,1,4
30,360,1.0,100%,within_single_window_model,1448,1448,1.0,181,1,4
60,45,0.05,5%,within_single_window_model,1472,74,0.050271739130434784,23,8,4
60,45,0.1,10%,within_single_window_model,1472,148,0.10054347826086957,23,8,4
60,45,0.15,15%,within_single_window_model,1472,221,0.15013586956521738,23,8,4
60,45,0.25,25%,within_single_window_model,1472,368,0.25,23,8,4
60,45,0.5,50%,within_single_window_model,1472,736,0.5,23,8,4
60,45,1.0,100%,within_single_window_model,1472,1472,1.0,23,8,4
60,90,0.05,5%,within_single_window_model,1472,74,0.050271739130434784,46,4,4
60,90,0.1,10%,within_single_window_model,1472,148,0.10054347826086957,46,4,4
60,90,0.15,15%,within_single_window_model,1472,221,0.15013586956521738,46,4,4
60,90,0.25,25%,within_single_window_model,1472,368,0.25,46,4,4
60,90,0.5,50%,within_single_window_model,1472,736,0.5,46,4,4
60,90,1.0,100%,within_single_window_model,1472,1472,1.0,46,4,4
60,180,0.05,5%,within_single_window_model,1456,73,0.05013736263736264,91,2,4
60,180,0.1,10%,within_single_window_model,1456,146,0.10027472527472528,91,2,4
60,180,0.15,15%,within_single_window_model,1456,219,0.1504120879120879,91,2,4
60,180,0.25,25%,within_single_window_model,1456,364,0.25,91,2,4
60,180,0.5,50%,within_single_window_model,1456,728,0.5,91,2,4
60,180,1.0,100%,within_single_window_model,1456,1456,1.0,91,2,4
60,360,0.05,5%,within_single_window_model,1448,73,0.05041436464088398,181,1,4
60,360,0.1,10%,within_single_window_model,1448,145,0.10013812154696132,181,1,4
60,360,0.15,15%,within_single_window_model,1448,218,0.1505524861878453,181,1,4
60,360,0.25,25%,within_single_window_model,1448,362,0.25,181,1,4
60,360,0.5,50%,within_single_window_model,1448,724,0.5,181,1,4
60,360,1.0,100%,within_single_window_model,1448,1448,1.0,181,1,4
120,45,0.05,5%,within_single_window_model,1472,74,0.050271739130434784,23,8,4
120,45,0.1,10%,within_single_window_model,1472,148,0.10054347826086957,23,8,4
120,45,0.15,15%,within_single_window_model,1472,221,0.15013586956521738,23,8,4
120,45,0.25,25%,within_single_window_model,1472,368,0.25,23,8,4
120,45,0.5,50%,within_single_window_model,1472,736,0.5,23,8,4
120,45,1.0,100%,within_single_window_model,1472,1472,1.0,23,8,4
120,90,0.05,5%,within_single_window_model,1472,74,0.050271739130434784,46,4,4
120,90,0.1,10%,within_single_window_model,1472,148,0.10054347826086957,46,4,4
120,90,0.15,15%,within_single_window_model,1472,221,0.15013586956521738,46,4,4
120,90,0.25,25%,within_single_window_model,1472,368,0.25,46,4,4
120,90,0.5,50%,within_single_window_model,1472,736,0.5,46,4,4
120,90,1.0,100%,within_single_window_model,1472,1472,1.0,46,4,4
120,180,0.05,5%,within_single_window_model,1456,73,0.05013736263736264,91,2,4
120,180,0.1,10%,within_single_window_model,1456,146,0.10027472527472528,91,2,4
120,180,0.15,15%,within_single_window_model,1456,219,0.1504120879120879,91,2,4
120,180,0.25,25%,within_single_window_model,1456,364,0.25,91,2,4
120,180,0.5,50%,within_single_window_model,1456,728,0.5,91,2,4
120,180,1.0,100%,within_single_window_model,1456,1456,1.0,91,2,4
120,360,0.05,5%,within_single_window_model,1448,73,0.05041436464088398,181,1,4
120,360,0.1,10%,within_single_window_model,1448,145,0.10013812154696132,181,1,4
120,360,0.15,15%,within_single_window_model,1448,218,0.1505524861878453,181,1,4
120,360,0.25,25%,within_single_window_model,1448,362,0.25,181,1,4
120,360,0.5,50%,within_single_window_model,1448,724,0.5,181,1,4
120,360,1.0,100%,within_single_window_model,1448,1448,1.0,181,1,4
