forecast_lag_min,window_size,top_percent,top_percent_label,input_start,input_end,total_features,selected_feature_count,selected_feature_fraction,feature_count_cumimp_gt50,cumimp_reached_at_gt50,train_accuracy,train_f1,train_precision,train_recall,train_tss,train_hss,train_css,val_accuracy,val_f1,val_precision,val_recall,val_tss,val_hss,val_css,test_accuracy,test_f1,test_precision,test_recall,test_tss,test_hss,test_css
5,45,0.05,5%,355,715,1472,74,0.050271739130434784,8,0.505852505366632,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9887063655030801,0.9325153374233128,0.9156626506024096,0.95,0.9421700223713647,0.9263551504653497,0.8735632183908046,0.9869848156182213,0.9294117647058824,0.9186046511627907,0.9404761904761905,0.9321229685191499,0.9222443988418182,0.8681318681318682
5,45,0.1,10%,355,715,1472,148,0.10054347826086957,10,0.5123793261777883,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9876796714579056,0.926829268292683,0.9047619047619048,0.95,0.9410514541387025,0.9201071799639088,0.8636363636363636,0.9880694143167028,0.9349112426035503,0.9294117647058824,0.9404761904761905,0.9333162859415842,0.9283443315576029,0.8777777777777778
5,45,0.15,15%,355,715,1472,221,0.15013586956521738,12,0.5239094198877119,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9887063655030801,0.9325153374233128,0.9156626506024096,0.95,0.9421700223713647,0.9263551504653497,0.8735632183908046,0.9859002169197397,0.9239766081871345,0.9080459770114943,0.9404761904761905,0.9309296510967155,0.9162087720034114,0.8586956521739131
5,45,0.25,25%,355,715,1472,368,0.25,13,0.5112741234319395,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9876796714579056,0.927710843373494,0.8953488372093024,0.9625,0.9524328859060402,0.9209864525026364,0.8651685393258427,0.9880694143167028,0.935672514619883,0.9195402298850575,0.9523809523809523,0.9440277304239117,0.9290997301567328,0.8791208791208791
5,45,0.5,50%,355,715,1472,736,0.5,18,0.5158085005316589,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9887063655030801,0.9333333333333333,0.9058823529411765,0.9625,0.9535514541387025,0.9271701447896132,0.875,0.9869848156182213,0.9302325581395349,0.9090909090909091,0.9523809523809523,0.9428344130014774,0.9230598052851182,0.8695652173913043
5,45,1.0,100%,355,715,1472,1472,1.0,21,0.5049652638118521,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9876796714579056,0.927710843373494,0.8953488372093024,0.9625,0.9524328859060402,0.9209864525026364,0.8651685393258427,0.9859002169197397,0.9248554913294798,0.898876404494382,0.9523809523809523,0.9416410955790431,0.9170828894392407,0.8602150537634409
5,90,0.05,5%,355,715,1472,74,0.050271739130434784,11,0.5258059768832427,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9907597535934292,0.9461077844311377,0.9080459770114943,0.9875,0.9785514541387026,0.9410641530745337,0.8977272727272727,0.9880694143167028,0.9349112426035503,0.9294117647058824,0.9404761904761905,0.9333162859415842,0.9283443315576029,0.8777777777777778
5,90,0.1,10%,355,715,1472,148,0.10054347826086957,12,0.5147924111097295,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9917864476386037,0.9518072289156626,0.9186046511627907,0.9875,0.9796700223713648,0.9473243016684243,0.9080459770114943,0.9891540130151844,0.9411764705882353,0.9302325581395349,0.9523809523809523,0.9452210478463461,0.9352036657015151,0.8888888888888888
5,90,0.15,15%,355,715,1472,221,0.15013586956521738,15,0.50980818871596,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9917864476386037,0.9518072289156626,0.9186046511627907,0.9875,0.9796700223713648,0.9473243016684243,0.9080459770114943,0.9902386117136659,0.9473684210526315,0.9310344827586207,0.9642857142857143,0.957125809751108,0.9419906883100541,0.9
5,90,0.25,25%,355,715,1472,368,0.25,18,0.5051449353628894,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9907597535934292,0.9461077844311377,0.9080459770114943,0.9875,0.9785514541387026,0.9410641530745337,0.8977272727272727,0.9902386117136659,0.9473684210526315,0.9310344827586207,0.9642857142857143,0.957125809751108,0.9419906883100541,0.9
