window_size,forecast_lag_min,coeff_setting,max_available_coeffs,effective_coeffs,val_mse,val_mae,test_mse,test_mae
360,0,all,181,181,3.6068336321272617e-14,2.8144219937008454e-08,2.940330348000917e-12,5.528355706672605e-08
360,0,100,181,100,0.0028483658211513993,0.0037750723749234395,0.01821725685077993,0.005010906807172224
360,0,50,181,50,0.007487898705388257,0.0064231658169263154,0.03367794077032272,0.007663792621486864
360,0,25,181,25,0.09378203537735777,0.021764372654008306,0.6631013682503191,0.027949086300124205
360,0,10,181,10,0.2568545805731784,0.03944884462413735,1.2873301458033508,0.04974619274363188
360,0,5,181,5,0.34297881964487825,0.049450378881342745,1.843785623528227,0.06587530379514757
360,5,all,181,181,3.4120239980342815e-14,2.7360286355714295e-08,3.2546239095542862e-12,5.5645238255460474e-08
360,5,100,181,100,0.002299408745506611,0.003368634961705261,0.01837579689155795,0.0048800897483919446
360,5,50,181,50,0.006018866242544417,0.005641103815236017,0.03534612902995268,0.007280038980922863
360,5,25,181,25,0.09076210871688398,0.020747855603017864,0.6593067062444754,0.027775788085361224
360,5,10,181,10,0.24989137084133128,0.037518552328876444,1.2808488853117554,0.04837073339273499
360,5,5,181,5,0.3329884500101891,0.046986955624283434,1.840407698043581,0.06374877007142962
360,10,all,181,181,3.3410408823838236e-14,2.7004668021937666e-08,2.5038478083064403e-12,5.168462444842803e-08
360,10,100,181,100,0.0021372754008287223,0.0032328061569389483,0.020663827490702783,0.004771942506160319
360,10,50,181,50,0.0055975726355496965,0.00540843044450482,0.040934786117175645,0.0072204935992438175
360,10,25,181,25,0.09001060102251635,0.020352600982533713,0.6675407232077013,0.0271586623382602
360,10,10,181,10,0.2467242628378162,0.03653706993376502,1.256574344734314,0.046713572861864436
360,10,5,181,5,0.32904048832836563,0.0455759658089679,1.845738623822924,0.061851009097735034
360,60,all,181,181,4.092183867041408e-14,2.520213305624969e-08,5.188093518409885e-12,6.157570021163562e-08
360,60,100,181,100,0.003033734892525276,0.0030387072641818312,0.025317507502909616,0.004144767825458858
360,60,50,181,50,0.007942278474638765,0.004979834208248824,0.04781784628815954,0.005958109432164087
360,60,25,181,25,0.1095728957625056,0.020186292383961257,0.7111899982442323,0.025681146105902334
360,60,10,181,10,0.30257869438729823,0.035634215972573824,1.3504608046659041,0.04291086806750916
360,60,5,181,5,0.39647029046759596,0.043136329654532964,2.0616003876492703,0.05523367225506399
180,0,all,91,91,3.313712263064756e-14,2.4550470607856792e-08,2.804149279731701e-12,5.0397217365825315e-08
180,0,100,91,91,3.313712263064756e-14,2.4550470607856792e-08,2.804149279731701e-12,5.0397217365825315e-08
180,0,50,91,50,0.002690282218341449,0.0037676044501987064,0.03221386243682201,0.005254588764337767
180,0,25,91,25,0.00729221452750977,0.006436769232601498,0.07318013805477519,0.008346506059847407
180,0,10,91,10,0.15957969909808814,0.02684144890575831,0.8037888870807747,0.033300939436735504
180,0,5,91,5,0.25772545612606246,0.039305820652971044,1.419388196589782,0.05067454658984308
180,5,all,91,91,3.2393795463925696e-14,2.4109996125278513e-08,2.3900286614268423e-12,4.744384569736751e-08
180,5,100,91,91,3.2393795463925696e-14,2.4109996125278513e-08,2.3900286614268423e-12,4.744384569736751e-08
180,5,50,91,50,0.0021699536015532925,0.0034143717332459286,0.019473607519268188,0.004945177491311248
180,5,25,91,25,0.005884475860772168,0.005761616835689629,0.03942770143651196,0.007516331335296562
180,5,10,91,10,0.15615336433654176,0.02582770053415074,0.7820365586019544,0.03283046232572933
180,5,5,91,5,0.25130017814571204,0.03761442934162147,1.3760021684709287,0.04937616365776296
180,10,all,91,91,3.164025474880469e-14,2.3517588088894652e-08,2.947607876680627e-12,4.936465894479874e-08
180,10,100,91,91,3.164025474880469e-14,2.3517588088894652e-08,2.947607876680627e-12,4.936465894479874e-08
180,10,50,91,50,0.0020389505017331957,0.0032783396586906,0.020031713581418267,0.004818199454889544
180,10,25,91,25,0.005544734589456009,0.00553662959761072,0.03894678729596904,0.007304476027369809
180,10,10,91,10,0.15514370110974962,0.025303048985312403,0.802512000015117,0.03221610988726952
180,10,5,91,5,0.2487941225752826,0.03662965383269503,1.4177314783091453,0.04819880979228326
180,60,all,91,91,2.7862835178980178e-14,2.1620924305529986e-08,2.9543786164943915e-12,4.912825843223247e-08
180,60,100,91,91,2.7862835178980178e-14,2.1620924305529986e-08,2.9543786164943915e-12,4.912825843223247e-08
180,60,50,91,50,0.0029909725990847013,0.0031073287365934515,0.019738890481602395,0.004171443394437222
180,60,25,91,25,0.008236822548177083,0.005176211749893052,0.036248407224166966,0.006203234102429795
180,60,10,91,10,0.18799904620350244,0.024989262938986397,0.8324656387961453,0.030424192816689476
180,60,5,91,5,0.30368337854670335,0.03553094297372828,1.3430250210893337,0.04337400347384111
90,0,all,46,46,2.607257035156761e-14,2.149101049299091e-08,1.5187280889851269e-12,4.153977378583698e-08
90,0,100,46,46,2.607257035156761e-14,2.149101049299091e-08,1.5187280889851269e-12,4.153977378583698e-08
90,0,50,46,46,2.607257035156761e-14,2.149101049299091e-08,1.5187280889851269e-12,4.153977378583698e-08
90,0,25,46,25,0.003844596443665045,0.003969556196307996,0.0540401777147619,0.005871633682886876
90,0,10,46,10,0.0289695173272532,0.011302744378402549,0.30028398749274077,0.016190106897459918
