sample_id,forecast_lag_min,window_size,top_percent,top_percent_label,original_label,original_label_name,desired_counterfactual_label,desired_counterfactual_label_name,counterfactual_predicted_label,counterfactual_predicted_label_name,counterfactual_found,counterfactual_reconstruction_mse,counterfactual_reconstruction_mae,changed_feature_count,selected_feature_count,changed_feature_fraction,dice_proximity_loss,dice_proximity_score,dice_sparsity_loss,dice_sparsity_score,dice_plausibility_distance,dice_plausibility_score,dice_nearest_train_index,dice_nearest_train_label,dice_diversity_dpp,dice_diversity_avg_dist,dice_diversity_pair_count,dice_mean_pairwise_distance,error
FL_M1.4@9770:Primary_ar5107_s2015-01-27T10:48:00_e2015-01-27T22:36:00,0,16,1.0,100%,0,FL,1,NF,0,FL,False,0.0011427224380895495,0.02461448311805725,12,162,0.07407407407407407,21.730557509522733,0.04399364158054902,0.07407407407407407,0.9259259259259259,24.290176729754325,0.03954104436223583,1498,0,1.0005995466556712,0.9999187899727562,15,61684.67153181833,name 'original_obs_orig' is not defined
FL_M1.4@9770:Primary_ar5107_s2015-01-27T11:48:00_e2015-01-27T23:36:00,0,16,1.0,100%,0,FL,1,NF,0,FL,False,0.002109386958181858,0.022572390735149384,22,162,0.13580246913580246,2.0042669873687666,0.33285989700796603,0.13580246913580246,0.8641975308641976,4.4590592733516745,0.18318174431288678,1511,0,1.0005995466556712,0.9999187899727562,15,61684.67153181833,name 'original_obs_orig' is not defined
FL_M1.4@9770:Primary_ar5107_s2015-01-27T12:48:00_e2015-01-28T00:36:00,0,16,1.0,100%,0,FL,1,NF,1,NF,False,0.0008398120990023017,0.016848497092723846,6,162,0.037037037037037035,5.460589652314605,0.15478463326358063,0.037037037037037035,0.962962962962963,9.804635447944998,0.09255286814792038,220,1,1.0005995466556712,0.9999187899727562,15,61684.67153181833,name 'original_obs_orig' is not defined
NF_FQ_ar5125_s2015-01-27T13:24:00_e2015-01-28T01:12:00,0,16,1.0,100%,1,NF,0,FL,0,FL,False,0.02932107448577881,0.13328498601913452,66,162,0.4074074074074074,582.4857263245552,0.001713837982462942,0.4074074074074074,0.5925925925925926,574.4353360789922,0.0017378147244379969,923,0,1.0005995466556712,0.9999187899727562,15,61684.67153181833,name 'original_obs_orig' is not defined
NF_FQ_ar5125_s2015-01-27T21:24:00_e2015-01-28T09:12:00,0,16,1.0,100%,1,NF,0,FL,0,FL,False,0.02712235040962696,0.13520199060440063,60,162,0.37037037037037035,450.21881374593937,0.002216219646734531,0.37037037037037035,0.6296296296296297,449.1012227594028,0.0022217224691578772,1606,0,1.0005995466556712,0.9999187899727562,15,61684.67153181833,name 'original_obs_orig' is not defined
NF_C1.9@9782:Primary_ar5111_s2015-01-28T01:24:00_e2015-01-28T13:12:00,0,16,1.0,100%,1,NF,0,FL,0,FL,False,0.019303899258375168,0.10009411722421646,46,162,0.2839506172839506,250.1982389376971,0.00398091962837376,0.2839506172839506,0.7160493827160495,249.8138603080734,0.003987020489105765,1575,0,1.0005995466556712,0.9999187899727562,15,61684.67153181833,name 'original_obs_orig' is not defined
FL_M1.4@9770:Primary_ar5107_s2015-01-27T10:48:00_e2015-01-27T22:36:00,6,12,1.0,100%,0,FL,1,NF,1,NF,False,0.0004256520187482238,0.008468043059110641,16,168,0.09523809523809523,4.705402836321821,0.17527246168031904,0.09523809523809523,0.9047619047619048,9.883296989754886,0.09188392092408773,91,1,1.0006000752770008,0.9999553153715253,15,55915.61195418387,name 'original_obs_orig' is not defined
FL_M1.4@9770:Primary_ar5107_s2015-01-27T11:48:00_e2015-01-27T23:36:00,6,12,1.0,100%,0,FL,1,NF,1,NF,False,0.0022299503907561302,0.02839573286473751,12,168,0.07142857142857142,8.633282564631717,0.10380677544656143,0.07142857142857142,0.9285714285714286,13.590169728752594,0.06853929862305284,220,1,1.0006000752770008,0.9999553153715253,15,55915.61195418387,name 'original_obs_orig' is not defined
FL_M1.4@9770:Primary_ar5107_s2015-01-27T12:48:00_e2015-01-28T00:36:00,6,12,1.0,100%,0,FL,1,NF,1,NF,False,0.0023620803840458393,0.03229881823062897,11,168,0.06547619047619048,40.417009546877374,0.024144669326455384,0.06547619047619048,0.9345238095238095,45.22027362562445,0.021635527476531455,220,1,1.0006000752770008,0.9999553153715253,15,55915.61195418387,name 'original_obs_orig' is not defined
NF_FQ_ar5125_s2015-01-27T13:24:00_e2015-01-28T01:12:00,6,12,1.0,100%,1,NF,0,FL,0,FL,False,0.03103078156709671,0.14124293625354767,66,168,0.39285714285714285,499.34166074921313,0.001998634290221999,0.39285714285714285,0.6071428571428572,490.31774548348795,0.0020353427271712654,1608,0,1.0006000752770008,0.9999553153715253,15,55915.61195418387,name 'original_obs_orig' is not defined
