forecast_lag_min,window_size,top_percent,top_percent_label,selection_scope,total_features_in_window_model,selected_feature_count,selected_feature_fraction,max_available_coeffs,n_slices,channels
0,6,0.05,5%,within_single_window_model,192,10,0.052083333333333336,4,8,3
0,6,0.1,10%,within_single_window_model,192,20,0.10416666666666667,4,8,3
0,6,0.15,15%,within_single_window_model,192,29,0.15104166666666666,4,8,3
0,6,0.25,25%,within_single_window_model,192,48,0.25,4,8,3
0,6,0.5,50%,within_single_window_model,192,96,0.5,4,8,3
0,6,1.0,100%,within_single_window_model,192,192,1.0,4,8,3
0,12,0.05,5%,within_single_window_model,168,9,0.05357142857142857,7,4,3
0,12,0.1,10%,within_single_window_model,168,17,0.10119047619047619,7,4,3
0,12,0.15,15%,within_single_window_model,168,26,0.15476190476190477,7,4,3
0,12,0.25,25%,within_single_window_model,168,42,0.25,7,4,3
0,12,0.5,50%,within_single_window_model,168,84,0.5,7,4,3
0,12,1.0,100%,within_single_window_model,168,168,1.0,7,4,3
0,16,0.05,5%,within_single_window_model,162,9,0.05555555555555555,9,3,3
0,16,0.1,10%,within_single_window_model,162,17,0.10493827160493827,9,3,3
0,16,0.15,15%,within_single_window_model,162,25,0.15432098765432098,9,3,3
0,16,0.25,25%,within_single_window_model,162,41,0.25308641975308643,9,3,3
0,16,0.5,50%,within_single_window_model,162,81,0.5,9,3,3
0,16,1.0,100%,within_single_window_model,162,162,1.0,9,3,3
0,24,0.05,5%,within_single_window_model,156,8,0.05128205128205128,13,2,3
0,24,0.1,10%,within_single_window_model,156,16,0.10256410256410256,13,2,3
0,24,0.15,15%,within_single_window_model,156,24,0.15384615384615385,13,2,3
0,24,0.25,25%,within_single_window_model,156,39,0.25,13,2,3
0,24,0.5,50%,within_single_window_model,156,78,0.5,13,2,3
0,24,1.0,100%,within_single_window_model,156,156,1.0,13,2,3
0,48,0.05,5%,within_single_window_model,150,8,0.05333333333333334,25,1,3
0,48,0.1,10%,within_single_window_model,150,15,0.1,25,1,3
0,48,0.15,15%,within_single_window_model,150,23,0.15333333333333332,25,1,3
0,48,0.25,25%,within_single_window_model,150,38,0.25333333333333335,25,1,3
0,48,0.5,50%,within_single_window_model,150,75,0.5,25,1,3
0,48,1.0,100%,within_single_window_model,150,150,1.0,25,1,3
6,6,0.05,5%,within_single_window_model,192,10,0.052083333333333336,4,8,3
6,6,0.1,10%,within_single_window_model,192,20,0.10416666666666667,4,8,3
6,6,0.15,15%,within_single_window_model,192,29,0.15104166666666666,4,8,3
6,6,0.25,25%,within_single_window_model,192,48,0.25,4,8,3
6,6,0.5,50%,within_single_window_model,192,96,0.5,4,8,3
6,6,1.0,100%,within_single_window_model,192,192,1.0,4,8,3
6,12,0.05,5%,within_single_window_model,168,9,0.05357142857142857,7,4,3
6,12,0.1,10%,within_single_window_model,168,17,0.10119047619047619,7,4,3
6,12,0.15,15%,within_single_window_model,168,26,0.15476190476190477,7,4,3
6,12,0.25,25%,within_single_window_model,168,42,0.25,7,4,3
6,12,0.5,50%,within_single_window_model,168,84,0.5,7,4,3
6,12,1.0,100%,within_single_window_model,168,168,1.0,7,4,3
6,16,0.05,5%,within_single_window_model,162,9,0.05555555555555555,9,3,3
6,16,0.1,10%,within_single_window_model,162,17,0.10493827160493827,9,3,3
6,16,0.15,15%,within_single_window_model,162,25,0.15432098765432098,9,3,3
6,16,0.25,25%,within_single_window_model,162,41,0.25308641975308643,9,3,3
6,16,0.5,50%,within_single_window_model,162,81,0.5,9,3,3
6,16,1.0,100%,within_single_window_model,162,162,1.0,9,3,3
6,24,0.05,5%,within_single_window_model,156,8,0.05128205128205128,13,2,3
6,24,0.1,10%,within_single_window_model,156,16,0.10256410256410256,13,2,3
6,24,0.15,15%,within_single_window_model,156,24,0.15384615384615385,13,2,3
