sample_id,original_label,original_label_name,desired_counterfactual_label,desired_counterfactual_label_name,counterfactual_predicted_label,counterfactual_predicted_label_name,counterfactual_found,counterfactual_reconstruction_mse,counterfactual_reconstruction_mae,changed_feature_count,selected_feature_count,changed_feature_fraction,dice_proximity_loss,dice_proximity_score,dice_sparsity_loss,dice_sparsity_score,dice_plausibility_distance,dice_plausibility_score,dice_nearest_train_index,dice_nearest_train_label,forecast_lag_min,window_size,top_percent,error
FL_M1.4@9770:Primary_ar5107_s2015-01-27T10:48:00_e2015-01-27T22:36:00,0,FL,1,NF,1,NF,True,0.0004256520187482238,0.008468043059110641,16,168,0.09523809523809523,4.705402836321821,0.17527246168031904,0.09523809523809523,0.9047619047619048,9.883296989754886,0.09188392092408773,91,1,6,12,1.0,
FL_M1.4@9770:Primary_ar5107_s2015-01-27T11:48:00_e2015-01-27T23:36:00,0,FL,1,NF,1,NF,True,0.0022299503907561302,0.02839573286473751,12,168,0.07142857142857142,8.633282564631717,0.10380677544656143,0.07142857142857142,0.9285714285714286,13.590169728752594,0.06853929862305284,220,1,6,12,1.0,
FL_M1.4@9770:Primary_ar5107_s2015-01-27T12:48:00_e2015-01-28T00:36:00,0,FL,1,NF,1,NF,True,0.0023620803840458393,0.03229881823062897,11,168,0.06547619047619048,40.417009546877374,0.024144669326455384,0.06547619047619048,0.9345238095238095,45.22027362562445,0.021635527476531455,220,1,6,12,1.0,
FL_M1.4@9770:Primary_ar5107_s2015-01-27T13:48:00_e2015-01-28T01:36:00,0,FL,1,NF,0,FL,True,0.003259658347815275,0.03282137215137482,21,168,0.125,3.683808499023076,0.2135014700555274,0.125,0.875,5.703558143606414,0.1491745098017476,1514,0,6,12,1.0,
FL_M1.4@9770:Primary_ar5107_s2015-01-27T14:48:00_e2015-01-28T02:36:00,0,FL,1,NF,1,NF,True,0.0021029897034168243,0.02445869706571102,16,168,0.09523809523809523,6.476343695396183,0.13375522056533926,0.09523809523809523,0.9047619047619048,12.339579644760729,0.07496488095055989,491,1,6,12,1.0,
FL_M1.4@9770:Primary_ar5107_s2015-01-27T15:48:00_e2015-01-28T03:36:00,0,FL,1,NF,1,NF,True,0.0044433050788939,0.04239563271403313,22,168,0.13095238095238096,2.0090894341110497,0.33232644688589047,0.13095238095238096,0.8690476190476191,5.290778389034869,0.15896284023341983,491,1,6,12,1.0,
FL_M2.1@9785:Primary_ar5107_s2015-01-27T23:48:00_e2015-01-28T11:36:00,0,FL,1,NF,1,NF,True,0.0026110683102160692,0.029976822435855865,15,168,0.08928571428571429,6.7518869599930875,0.12900084910434398,0.08928571428571429,0.9107142857142857,7.489234142836635,0.11779625619630454,655,1,6,12,1.0,
FL_M2.1@9785:Primary_ar5107_s2015-01-28T00:48:00_e2015-01-28T12:36:00,0,FL,1,NF,1,NF,True,0.0016291113570332527,0.02171468362212181,15,168,0.08928571428571429,0.1638087015828677,0.8592477428978873,0.08928571428571429,0.9107142857142857,0.8580765868963456,0.5381909481300546,724,1,6,12,1.0,
FL_M2.1@9785:Primary_ar5107_s2015-01-28T01:48:00_e2015-01-28T13:36:00,0,FL,1,NF,1,NF,True,0.0011842577951028943,0.02326192893087864,14,168,0.08333333333333333,34.37098826644121,0.02827175742072115,0.08333333333333333,0.9166666666666666,35.1570808976685,0.027657099942060934,724,1,6,12,1.0,
FL_M2.1@9785:Primary_ar5107_s2015-01-28T02:48:00_e2015-01-28T14:36:00,0,FL,1,NF,1,NF,True,0.0005864610429853201,0.009907638654112816,6,168,0.03571428571428571,0.0592086440282577,0.944101056612338,0.03571428571428571,0.9642857142857143,1.1080099140388093,0.4743810706677681,654,1,6,12,1.0,
