sample_id,original_label,original_label_name,desired_counterfactual_label,desired_counterfactual_label_name,counterfactual_predicted_label,counterfactual_predicted_label_name,counterfactual_found,num_cfs_requested,num_cfs_generated,counterfactual_reconstruction_mse,counterfactual_reconstruction_mae,changed_feature_count,selected_feature_count,changed_feature_fraction,dice_proximity_loss,dice_proximity_score,dice_sparsity_loss,dice_sparsity_score,dice_plausibility_distance,dice_plausibility_score,dice_nearest_train_index,dice_nearest_train_label,dice_diversity_dpp,dice_diversity_avg_dist,dice_diversity_pair_count,dice_mean_pairwise_distance,forecast_lag_min,window_size,top_percent,error
FL_M1.4@9770:Primary_ar5107_s2015-01-27T10:48:00_e2015-01-27T22:36:00,0,FL,1,NF,1,NF,True,5,5,0.000976618769345805,0.014379116147756577,18.0,168,0.10714285714285714,10.23889303713921,0.18981053212883742,0.10714285714285714,0.8928571428571429,15.685508414852567,0.0850508485679034,91,1,0.3715373074674188,0.8309428244749929,10,2932.720921968764,6,12,1.0,
FL_M1.4@9770:Primary_ar5107_s2015-01-27T11:48:00_e2015-01-27T23:36:00,0,FL,1,NF,0,FL,True,5,5,0.001840912690386176,0.020741307735443117,12.0,168,0.07142857142857142,2.4687554125109368,0.46050562748235196,0.07142857142857142,0.9285714285714286,6.931353322803756,0.14662003485699934,1507,0,1.0003597682590273,0.9970711446204021,10,795.8714821623669,6,12,1.0,
FL_M1.4@9770:Primary_ar5107_s2015-01-27T12:48:00_e2015-01-28T00:36:00,0,FL,1,NF,1,NF,True,5,5,0.002305307565256953,0.03314891159534454,12.8,168,0.07619047619047618,41.699262106434034,0.023426305676292336,0.07619047619047618,0.9238095238095237,46.06727645666403,0.021251784280305323,220,1,0.8075572165527031,0.9532469342461594,10,5708.989417580148,6,12,1.0,
FL_M1.4@9770:Primary_ar5107_s2015-01-27T13:48:00_e2015-01-28T01:36:00,0,FL,1,NF,0,FL,True,5,5,0.003263537213206291,0.033036977797746656,23.0,168,0.13690476190476192,3.6972577396871946,0.21289150467134932,0.13690476190476192,0.8630952380952381,6.802908813898382,0.12996682930156805,1514,0,0.2987123730746916,0.6750520995499871,10,2.7269426896893108,6,12,1.0,
FL_M1.4@9770:Primary_ar5107_s2015-01-27T14:48:00_e2015-01-28T02:36:00,0,FL,1,NF,1,NF,True,5,5,0.0021034450270235538,0.024499999731779097,18.0,168,0.10714285714285714,6.537861203086026,0.13267393921585618,0.10714285714285714,0.8928571428571429,12.389387832694494,0.07468761929657769,491,1,0.03382564408943788,0.7623925436413184,10,14.188891434523248,6,12,1.0,
FL_M1.4@9770:Primary_ar5107_s2015-01-27T15:48:00_e2015-01-28T03:36:00,0,FL,1,NF,1,NF,True,5,5,0.0037140451022423804,0.036596464551985265,23.6,168,0.14047619047619048,1.9118318642048018,0.34677545210468597,0.14047619047619048,0.8595238095238095,5.524432007719016,0.15384980195473696,491,1,0.5423171558310076,0.8693896263793246,10,167.32873398758076,6,12,1.0,
FL_M2.1@9785:Primary_ar5107_s2015-01-27T23:48:00_e2015-01-28T11:36:00,0,FL,1,NF,1,NF,True,5,5,0.002661147713661194,0.03092777505517006,17.0,168,0.10119047619047619,6.761398347732111,0.1288428607546726,0.10119047619047619,0.8988095238095237,7.569358557811926,0.116701095515263,655,1,0.2060695614134548,0.5769111019027651,10,1.6027710979186645,6,12,1.0,
FL_M2.1@9785:Primary_ar5107_s2015-01-28T00:48:00_e2015-01-28T12:36:00,0,FL,1,NF,1,NF,True,5,5,0.0016291546868160366,0.021782426908612252,17.0,168,0.10119047619047619,0.5957792998951577,0.6414061200586836,0.10119047619047619,0.898809523809524,1.2492848839677202,0.4485904216202837,724,1,0.3503867379455099,0.7621381974864787,10,37.45085820253132,6,12,1.0,
FL_M2.1@9785:Primary_ar5107_s2015-01-28T01:48:00_e2015-01-28T13:36:00,0,FL,1,NF,0,FL,True,5,5,0.0013438684633001684,0.021556572429835795,15.6,168,0.09285714285714286,22.474063186810902,0.2137477628010341,0.09285714285714286,0.9071428571428571,23.233177002562723,0.1463883654942698,214,0,0.7285923102945048,0.9471441978426228,10,4084.302407301437,6,12,1.0,
FL_M2.1@9785:Primary_ar5107_s2015-01-28T02:48:00_e2015-01-28T14:36:00,0,FL,1,NF,1,NF,True,5,5,0.0005866271210834384,0.010001798532903195,8.0,168,0.047619047619047616,0.06601646171201783,0.938083881539774,0.047619047619047616,0.9523809523809523,1.1118637967063818,0.4735158128680281,654,1,0.03177925818362035,0.41028901271406215,10,0.850848994532635,6,12,1.0,
FL_M2.1@9785:Primary_ar5107_s2015-01-28T03:48:00_e2015-01-28T15:36:00,0,FL,1,NF,0,FL,True,5,5,0.0018712930381298066,0.02226792313158512,22.8,168,0.13571428571428573,3.7696435266031942,0.2388372209784698,0.13571428571428573,0.8642857142857142,4.418410201967143,0.20528575911564334,1616,0,0.6018022161664847,0.9301920378724827,10,770.156311154079,6,12,1.0,
FL_M2.1@9785:Primary_ar5107_s2015-01-28T04:48:00_e2015-01-28T16:36:00,0,FL,1,NF,1,NF,True,5,5,0.0026054115500301124,0.03291522301733494,18.0,168,0.10714285714285714,1.738664590467033,0.36515176206641237,0.10714285714285714,0.8928571428571429,2.565022799871729,0.28050391257443436,420,1,0.5030057632427523,0.7327561037725474,10,3.4133999749334762,6,12,1.0,
FL_M2.1@9785:Primary_ar5107_s2015-01-28T05:48:00_e2015-01-28T17:36:00,0,FL,1,NF,1,NF,True,5,5,0.0020550798159092664,0.02266802042722702,26.0,168,0.15476190476190474,0.4182687368889312,0.7112334658916553,0.15476190476190474,0.8452380952380952,0.9306255199779976,0.5205391691812596,223,1,0.7065378669902544,0.88017742285094,10,66.73485207685324,6,12,1.0,
FL_M2.1@9785:Primary_ar5107_s2015-01-28T06:48:00_e2015-01-28T18:36:00,0,FL,1,NF,1,NF,True,5,5,0.001224144868319854,0.01685201656073332,15.0,168,0.08928571428571429,2.3023719021344915,0.5233152899851461,0.08928571428571429,0.9107142857142858,3.070431758448634,0.34773853211242384,371,1,0.5827678672296002,0.9092099427139609,10,587.4109011340704,6,12,1.0,
FL_M2.1@9785:Primary_ar5107_s2015-01-28T22:48:00_e2015-01-29T10:36:00,0,FL,1,NF,1,NF,True,5,5,0.0013858936727046967,0.021381587162613867,12.2,168,0.07261904761904761,16.530057241019666,0.3605723057251609,0.07261904761904761,0.9273809523809524,20.722246257928482,0.11150140178348192,165,1,0.59913731972913,0.93376735938411,10,5489.9282790789275,6,12,1.0,
FL_M2.0@9794:Primary_ar5107_s2015-01-28T23:48:00_e2015-01-29T11:36:00,0,FL,1,NF,1,NF,True,5,5,0.0019385074265301228,0.022409004718065263,23.8,168,0.14166666666666666,0.3956765249047857,0.7214415768576878,0.14166666666666666,0.8583333333333334,1.049097472128018,0.4894446786393501,51,1,0.9824396123874274,0.9789302532455548,10,105.84192888856057,6,12,1.0,
FL_M2.0@9794:Primary_ar5107_s2015-01-29T00:48:00_e2015-01-29T12:36:00,0,FL,1,NF,0,FL,True,5,5,0.002488531870767474,0.027619459107518195,23.8,168,0.14166666666666666,25.736716185683445,0.5820880476415184,0.14166666666666666,0.8583333333333334,26.421273119933602,0.3871368396986873,453,0,0.8890588562621575,0.962007210730959,10,8597.40819689418,6,12,1.0,
FL_M2.0@9794:Primary_ar5107_s2015-01-29T01:48:00_e2015-01-29T13:36:00,0,FL,1,NF,0,FL,True,5,5,0.0016503620659932493,0.022675516828894616,17.0,168,0.10119047619047619,0.2863064470135231,0.7774460657369805,0.10119047619047619,0.8988095238095237,0.9988188197961986,0.5003241705032855,706,0,0.18241661773738813,0.5906247734225861,10,1.7586689939889777,6,12,1.0,
FL_M2.0@9794:Primary_ar5107_s2015-01-29T02:48:00_e2015-01-29T14:36:00,0,FL,1,NF,1,NF,True,5,5,0.0034158133901655676,0.04092068523168564,36.6,168,0.2178571428571429,53.443124679081464,0.27495212848173556,0.2178571428571429,0.7821428571428571,54.093721472383024,0.2046220900485753,278,1,0.8128073317251786,0.9415362918231136,10,9612.273059530136,6,12,1.0,
FL_M2.4@9798:Primary_ar5127_s2015-01-29T15:36:00_e2015-01-30T03:24:00,0,FL,1,NF,1,NF,True,5,5,0.008335495926439762,0.050991791486740115,24.6,168,0.14642857142857144,1.57239830497616,0.4992725118778994,0.14642857142857144,0.8535714285714286,2.422386485660046,0.3369583702963442,518,1,0.5956794443278332,0.8795567905606296,10,411.77227784837726,6,12,1.0,
FL_M1.7@9796:Primary_ar5107_s2015-01-29T15:48:00_e2015-01-30T03:36:00,0,FL,1,NF,1,NF,True,5,5,0.0025824859738349916,0.02841069921851158,21.2,168,0.1261904761904762,8.885667256753846,0.20480055614928805,0.1261904761904762,0.8738095238095237,9.575516857023324,0.16589266769177374,1305,1,1.0003967388124562,0.9979541615108382,10,1671.4671164599397,6,12,1.0,
FL_M2.4@9798:Primary_ar5127_s2015-01-29T16:36:00_e2015-01-30T04:24:00,0,FL,1,NF,1,NF,True,5,5,0.01481323130428791,0.06976970583200455,22.0,168,0.13095238095238093,0.2682703835486131,0.788547025124488,0.13095238095238093,0.869047619047619,1.1206564189847026,0.4715548979975474,269,1,0.04569871514232515,0.6378189700543933,10,2.6754701154544893,6,12,1.0,
FL_M1.7@9796:Primary_ar5107_s2015-01-29T16:48:00_e2015-01-30T04:36:00,0,FL,1,NF,1,NF,True,5,5,0.0029050837736576797,0.026885641738772392,9.2,168,0.05476190476190477,0.08222070564361235,0.9241207765315439,0.05476190476190477,0.9452380952380952,0.8818797768115904,0.5313861513106024,1162,1,0.31228446916368513,0.7846758561660416,10,11.694739932034748,6,12,1.0,
FL_M2.4@9798:Primary_ar5127_s2015-01-29T17:36:00_e2015-01-30T05:24:00,0,FL,1,NF,1,NF,True,5,5,0.00596927609294653,0.03496697098016739,29.2,168,0.1738095238095238,0.3310640246545641,0.7518792366450996,0.1738095238095238,0.8261904761904763,1.0878295444548411,0.4791871014307665,518,1,0.4204308327700549,0.8920439767030603,10,65.23366983487189,6,12,1.0,
FL_M2.4@9798:Primary_ar5127_s2015-01-29T18:36:00_e2015-01-30T06:24:00,0,FL,1,NF,0,FL,True,5,5,0.014099332503974438,0.07134222537279129,30.6,168,0.1821428571428571,0.815988191100794,0.5883385815254716,0.1821428571428571,0.8178571428571428,1.5414466427948363,0.4104826330690276,190,0,0.2032104817372966,0.7830012128244889,10,172.21108309810484,6,12,1.0,
FL_M2.4@9798:Primary_ar5127_s2015-01-29T19:36:00_e2015-01-30T07:24:00,0,FL,1,NF,1,NF,True,5,5,0.012426837347447872,0.06107848510146141,27.2,168,0.1619047619047619,3.003834132514029,0.35271554381448766,0.1619047619047619,0.838095238095238,3.795062020281171,0.2642629026400628,1452,1,0.7241655055944722,0.9202721184496808,10,670.6308523527293,6,12,1.0,
FL_M2.4@9798:Primary_ar5127_s2015-01-29T20:36:00_e2015-01-30T08:24:00,0,FL,1,NF,0,FL,True,5,5,0.008840741775929927,0.04743152186274528,31.2,168,0.18571428571428572,2.6849568398497348,0.45100046055327886,0.18571428571428572,0.8142857142857143,3.3954195320761,0.3173939265597,430,0,0.7405620347749542,0.9468314787621804,10,733.7649937101179,6,12,1.0,
FL_M2.4@9798:Primary_ar5127_s2015-01-29T21:36:00_e2015-01-30T09:24:00,0,FL,1,NF,1,NF,True,5,5,0.01165582537651062,0.05985628440976143,33.6,168,0.2,2.7025419408224445,0.45386217270380724,0.2,0.8,3.382338556833372,0.3348765401033257,404,1,0.7713333557353269,0.9235953259713514,10,731.083633657899,6,12,1.0,
FL_M2.4@9798:Primary_ar5127_s2015-01-29T22:36:00_e2015-01-30T10:24:00,0,FL,1,NF,1,NF,True,5,5,0.011164724454283714,0.0613744780421257,28.2,168,0.16785714285714284,13.41687364771551,0.4562397609575708,0.16785714285714284,0.8321428571428571,14.263263338459652,0.27764452337753487,284,1,0.3996885268854837,0.8250655910741758,10,3360.0452654472656,6,12,1.0,
FL_M2.4@9798:Primary_ar5127_s2015-01-29T23:36:00_e2015-01-30T11:24:00,0,FL,1,NF,1,NF,True,5,5,0.008853214606642724,0.04890559464693069,34.8,168,0.20714285714285716,6.453726500673591,0.14384570904181598,0.20714285714285716,0.7928571428571428,7.417065898745301,0.12505310007884868,1271,1,0.07782031528088998,0.8025183407557464,10,515.0808471724933,6,12,1.0,
FL_M1.2@9823:Primary_ar5127_s2015-02-02T14:36:00_e2015-02-03T02:24:00,0,FL,1,NF,0,FL,True,5,5,0.0014351131045259534,0.015647982247173786,24.2,168,0.14404761904761904,0.2857431426828861,0.777972077881963,0.14404761904761904,0.855952380952381,0.9186848051371385,0.5212624126286416,1136,0,0.5386421231034285,0.8923852901638964,10,64.69912465842299,6,12,1.0,
FL_M1.2@9823:Primary_ar5127_s2015-02-02T15:36:00_e2015-02-03T03:24:00,0,FL,1,NF,1,NF,True,5,5,0.003179414523765445,0.033085957169532776,16.6,168,0.0988095238095238,7.801135959791817,0.22947103595809745,0.0988095238095238,0.9011904761904763,8.592160599255498,0.17790285298658476,269,1,0.10475116123987094,0.9044990290650959,10,1973.851794617559,6,12,1.0,
FL_M1.2@9823:Primary_ar5127_s2015-02-02T16:36:00_e2015-02-03T04:24:00,0,FL,1,NF,0,FL,True,5,5,0.0037918748799711465,0.03654441237449646,17.4,168,0.10357142857142856,6.405622696608047,0.6572947348578145,0.10357142857142856,0.8964285714285716,7.208553592232218,0.4008696615401449,1147,0,0.010506423490759918,0.6124619470206494,10,2103.858536507605,6,12,1.0,
FL_M1.2@9823:Primary_ar5127_s2015-02-02T17:36:00_e2015-02-03T05:24:00,0,FL,1,NF,1,NF,True,5,5,0.0030636032286565753,0.031429719924926755,21.6,168,0.12857142857142856,9.29570882987706,0.5089664408163456,0.12857142857142856,0.8714285714285716,9.963502155416569,0.3433193499950127,419,1,0.8470680397644093,0.9581004689594776,10,3107.6414245984793,6,12,1.0,
FL_M1.2@9823:Primary_ar5127_s2015-02-02T18:36:00_e2015-02-03T06:24:00,0,FL,1,NF,1,NF,True,5,5,0.00036607481888495386,0.006216970086097717,16.8,168,0.1,0.1517846436827332,0.8684846017590224,0.1,0.9,0.8752505132255124,0.5334093012205352,1183,1,0.1259840455384014,0.7306225265692481,10,29.965175835084676,6,12,1.0,
FL_M1.2@9823:Primary_ar5127_s2015-02-02T19:36:00_e2015-02-03T07:24:00,0,FL,1,NF,1,NF,True,5,5,0.0028380231466144322,0.025180787593126298,12.0,168,0.07142857142857142,3.935101875678002,0.5295984888766951,0.07142857142857142,0.9285714285714286,4.649544450021187,0.34965242119888484,654,1,0.12755907699518573,0.9038994210977189,10,1302.490640027855,6,12,1.0,
FL_M1.2@9823:Primary_ar5127_s2015-02-02T20:36:00_e2015-02-03T08:24:00,0,FL,1,NF,1,NF,True,5,5,0.004159913025796413,0.03277365639805794,17.0,168,0.10119047619047619,0.12044501916381412,0.8925520809991042,0.10119047619047619,0.8988095238095237,0.9206403990530369,0.5206667581088995,1271,1,0.14643221570434323,0.5908262542504749,10,1.9074778438493207,6,12,1.0,
FL_M1.2@9823:Primary_ar5127_s2015-02-02T21:36:00_e2015-02-03T09:24:00,0,FL,1,NF,1,NF,True,5,5,0.0025428558234125375,0.028594252094626425,15.2,168,0.09047619047619047,18.015555262650516,0.17725283923828086,0.09047619047619047,0.9095238095238096,18.808499146865813,0.14010648896553707,399,1,0.7685355998378365,0.9516443388682082,10,5046.155635213518,6,12,1.0,
FL_M1.2@9823:Primary_ar5127_s2015-02-02T22:36:00_e2015-02-03T10:24:00,0,FL,1,NF,1,NF,True,5,5,0.004057451337575913,0.03463341072201729,22.8,168,0.13571428571428573,4.575547466609726,0.2632767926418666,0.13571428571428573,0.8642857142857142,5.294099894034923,0.2093802577569625,472,1,0.5960380163076863,0.8562515342330221,10,630.4181823220244,6,12,1.0,
FL_M1.2@9823:Primary_ar5127_s2015-02-02T23:36:00_e2015-02-03T11:24:00,0,FL,1,NF,1,NF,True,5,5,0.0004228292847983539,0.006578110065311194,10.4,168,0.06190476190476189,0.1076429718854363,0.9031217522281063,0.06190476190476189,0.9380952380952381,0.9657795234835642,0.5088781250052117,1274,1,0.18536541205721163,0.7777963803678853,10,20.671364739071688,6,12,1.0,
FL_M1.2@9823:Primary_ar5127_s2015-02-03T00:36:00_e2015-02-03T12:24:00,0,FL,1,NF,1,NF,True,5,5,0.0028407650534063578,0.026337241381406785,17.4,168,0.10357142857142856,0.26856729601368856,0.7889783301160007,0.10357142857142856,0.8964285714285716,0.9855374288916632,0.5050033566667275,1391,1,0.6096590124328904,0.8873710423603587,10,55.6823352702825,6,12,1.0,
