lag_minutes,coeff_setting,max_available_coeffs,effective_coeffs,train_accuracy,train_f1,train_recall,train_tss,train_hss,train_css,test_accuracy,test_f1,test_recall,test_tss,test_hss,test_css
5,all,37,37,1.0,1.0,1.0,1.0,1.0,1.0,0.9262672811059908,0.3469387755102041,0.2328767123287671,0.22281381924700616,0.31766035325619674,0.20987654320987653
5,100,37,37,1.0,1.0,1.0,1.0,1.0,1.0,0.9262672811059908,0.3469387755102041,0.2328767123287671,0.22281381924700616,0.31766035325619674,0.20987654320987653
5,50,37,37,1.0,1.0,1.0,1.0,1.0,1.0,0.9262672811059908,0.3469387755102041,0.2328767123287671,0.22281381924700616,0.31766035325619674,0.20987654320987653
5,15,37,15,1.0,1.0,1.0,1.0,1.0,1.0,0.9170506912442397,0.16279069767441862,0.0958904109589041,0.0883432411475833,0.14094845360824743,0.08860759493670886
5,10,37,10,1.0,1.0,1.0,1.0,1.0,1.0,0.9193548387096774,0.16666666666666666,0.0958904109589041,0.09085896441802355,0.1478977926121224,0.09090909090909091
5,5,37,5,1.0,1.0,1.0,1.0,1.0,1.0,0.9193548387096774,0.18604651162790697,0.1095890410958904,0.10329973291978978,0.16481099656357387,0.10256410256410256
10,all,19,19,1.0,1.0,1.0,1.0,1.0,1.0,0.9193548387096774,0.2391304347826087,0.1506849315068493,0.14062203842508825,0.21174852754209803,0.13580246913580246
10,100,19,19,1.0,1.0,1.0,1.0,1.0,1.0,0.9193548387096774,0.2391304347826087,0.1506849315068493,0.14062203842508825,0.21174852754209803,0.13580246913580246
10,50,19,19,1.0,1.0,1.0,1.0,1.0,1.0,0.9193548387096774,0.2391304347826087,0.1506849315068493,0.14062203842508825,0.21174852754209803,0.13580246913580246
10,15,19,15,1.0,1.0,1.0,1.0,1.0,1.0,0.9205069124423964,0.2247191011235955,0.136986301369863,0.12943913155854236,0.20054460996315873,0.12658227848101267
10,10,19,10,1.0,1.0,1.0,1.0,1.0,1.0,0.9182027649769585,0.1839080459770115,0.1095890410958904,0.10204187128456965,0.16120426829268292,0.10126582278481013
10,5,19,5,1.0,1.0,1.0,1.0,1.0,1.0,0.9182027649769585,0.16470588235294117,0.0958904109589041,0.08960110278280342,0.14438829344143944,0.08974358974358974
30,all,7,7,1.0,1.0,1.0,1.0,1.0,1.0,0.9216589861751152,0.22727272727272727,0.136986301369863,0.13069699319376227,0.20446397282799147,0.1282051282051282
30,100,7,7,1.0,1.0,1.0,1.0,1.0,1.0,0.9216589861751152,0.22727272727272727,0.136986301369863,0.13069699319376227,0.20446397282799147,0.1282051282051282
30,50,7,7,1.0,1.0,1.0,1.0,1.0,1.0,0.9216589861751152,0.22727272727272727,0.136986301369863,0.13069699319376227,0.20446397282799147,0.1282051282051282
30,15,7,7,1.0,1.0,1.0,1.0,1.0,1.0,0.9216589861751152,0.22727272727272727,0.136986301369863,0.13069699319376227,0.20446397282799147,0.1282051282051282
30,10,7,7,1.0,1.0,1.0,1.0,1.0,1.0,0.9216589861751152,0.22727272727272727,0.136986301369863,0.13069699319376227,0.20446397282799147,0.1282051282051282
30,5,7,5,1.0,1.0,1.0,1.0,1.0,1.0,0.9205069124423964,0.20689655172413793,0.1232876712328767,0.11699836305677613,0.18483231707317074,0.11538461538461539
60,all,4,4,1.0,1.0,1.0,1.0,1.0,1.0,0.9032258064516129,0.23636363636363636,0.1780821917808219,0.14789351253553895,0.1905681742489842,0.13402061855670103
60,100,4,4,1.0,1.0,1.0,1.0,1.0,1.0,0.9032258064516129,0.23636363636363636,0.1780821917808219,0.14789351253553895,0.1905681742489842,0.13402061855670103
60,50,4,4,1.0,1.0,1.0,1.0,1.0,1.0,0.9032258064516129,0.23636363636363636,0.1780821917808219,0.14789351253553895,0.1905681742489842,0.13402061855670103
60,15,4,4,1.0,1.0,1.0,1.0,1.0,1.0,0.9032258064516129,0.23636363636363636,0.1780821917808219,0.14789351253553895,0.1905681742489842,0.13402061855670103
60,10,4,4,1.0,1.0,1.0,1.0,1.0,1.0,0.9032258064516129,0.23636363636363636,0.1780821917808219,0.14789351253553895,0.1905681742489842,0.13402061855670103
60,5,4,4,1.0,1.0,1.0,1.0,1.0,1.0,0.9032258064516129,0.23636363636363636,0.1780821917808219,0.14789351253553895,0.1905681742489842,0.13402061855670103
